itemid,label,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue,abbreviation
227980,Intra Aortic Balloon Pump Setting,chartevents,IABP,,Text,,,IABP Setting
230036,Grunting,chartevents,RDOS,,Text,,,Grunting at end-expiration
230039,Nasal flaring.,chartevents,RDOS,,Text,,,Nasal flaring.
230042,RR per min,chartevents,RDOS,,Text,,,RR per min
230040,Paradoxical breathing,chartevents,RDOS,,Text,,,Paradoxical breathing
230038,Look of fear,chartevents,RDOS,,Text,,,Look of fear
230035,Accessory muscle use.,chartevents,RDOS,,Text,,,Accessory muscle use.
230041,Restlessness.,chartevents,RDOS,,Text,,,Restlessness.
230037,HR per min,chartevents,RDOS,,Text,,,HR per min
224005,Flatus,chartevents,GI/GU,,Text,,,Flatus
224013,Stool Guaiac,chartevents,GI/GU,,Text,,,Stool Guaiac
224786,GI #1 Tube Status,chartevents,GI/GU,,Text,,,GI #1 Tube Status
228308,GI #1 Tube Place Method,chartevents,GI/GU,,Text,,,GI #1 Tube Place Method
224010,GI #1 Tube Place Check,chartevents,GI/GU,,Text,,,GI #1 Tube Place Check
224012,Stool Management,chartevents,GI/GU,,Text,,,Stool Management
227585,GI Guaiac,chartevents,GI/GU,,Text,,,GI Guaiac
227590,GI #3 Tube Place Method,chartevents,GI/GU,,Text,,,GI #3 Tube Place Method
227589,GI #2 Tube Place Method,chartevents,GI/GU,,Text,,,GI #2 Tube Place Method
228310,GI #2 Tube Place Method,chartevents,GI/GU,,Text,,,GI #2 Tube Place Method
224000,Nares R,chartevents,GI/GU,,Text,,,Nares R
224019,Bladder Irrigation,chartevents,GI/GU,,Text,,,Bladder Irrigation
224818,GI #3 Tube Place Method,chartevents,GI/GU,,Text,,,GI #3 Tube Place Method
224009,GI #1 Tube Drainage,chartevents,GI/GU,,Text,,,GI #1 Tube Drainage
224004,Bowel Sounds,chartevents,GI/GU,,Text,,,Bowel Sounds
224006,Emesis Appearance,chartevents,GI/GU,,Text,,,Emesis Appearance
227968,All Medications Tolerated without Adverse Side Effects,chartevents,GI/GU,,Text,,,All Medications Tolerated
224016,Urine Color,chartevents,GI/GU,,Text,,,Urine Color
227588,GI #1 Tube Place Method,chartevents,GI/GU,,Text,,,GI #1 Tube Place Method
224001,Diet Type,chartevents,GI/GU,,Text,,,Diet Type
228309,GI #2 Tube Place Check,chartevents,GI/GU,,Text,,,GI #2 Tube Place Check
224442,GI #3 Intub Site,chartevents,GI/GU,,Text,,,GI #3 Intub Site
229354,Foley Cath Insertion Location,chartevents,GI/GU,,Text,,,Indwelling Urinary Cath Insertion Location
224011,Stool Consistency,chartevents,GI/GU,,Text,,,Stool Consistency
224794,Stool Color,chartevents,GI/GU,,Text,,,Stool Color
224814,GI #1 Tube Place Method,chartevents,GI/GU,,Text,,,GI #1 Tube Place Method
224792,GI #3 Tube Status,chartevents,GI/GU,,Text,,,GI #3 Tube Status
224796,Ostomy,chartevents,GI/GU,,Text,,,Ostomy
228311,GI #3 Tube Place Check,chartevents,GI/GU,,Text,,,GI #3 Tube Place Check
224785,GI #1 Tube Type,chartevents,GI/GU,,Text,,,GI #1 Tube Type
224445,GI #2 Tube Drainage,chartevents,GI/GU,,Text,,,GI #2 Tube Drainage
224876,Urine Appearance,chartevents,GI/GU,,Text,,,Urine Appearance
224443,GI #2 Tube Place Check,chartevents,GI/GU,,Text,,,GI #2 Tube Place Check
224446,GI #3 Tube Drainage,chartevents,GI/GU,,Text,,,GI #3 Tube Drainage
228714,Bladder scanned,chartevents,GI/GU,,Text,,,Bladder scanned
224441,GI #2 Intub Site,chartevents,GI/GU,,Text,,,GI #2 Intub Site
224791,GI #3 Tube Type,chartevents,GI/GU,,Text,,,GI #3 Tube Type
224444,GI #3 Tube Place Check,chartevents,GI/GU,,Text,,,GI #3 Tube Place Check
224017,GU Catheter Size,chartevents,GI/GU,,Text,,,GU Catheter Size
224003,Abdominal Assessment,chartevents,GI/GU,,Text,,,Abdominal Assessment
224015,Urine Source,chartevents,GI/GU,,Text,,,Urine Source
224816,GI #2 Tube Place Method,chartevents,GI/GU,,Text,,,GI #2 Tube Place Method
230033,Stool Management,chartevents,GI/GU,,Text,,,Stool Management
228307,GI #1 Tube Place Check,chartevents,GI/GU,,Text,,,GI #1 Tube Place Check
223999,Oral Cavity,chartevents,GI/GU,,Text,,,Oral Cavity
224007,GI #1 Intub Site,chartevents,GI/GU,,Text,,,GI #1 Intub Site
224797,Ostomy Appearance,chartevents,GI/GU,,Text,,,Ostomy Appearance
224879,Nares L,chartevents,GI/GU,,Text,,,Nares L
224789,GI #2 Tube Status,chartevents,GI/GU,,Text,,,GI #2 Tube Status
224788,GI #2 Tube Type,chartevents,GI/GU,,Text,,,GI #2 Tube Type
228312,GI #3 Tube Place Method,chartevents,GI/GU,,Text,,,GI #3 Tube Place Method
228372,Leg Raise Result (NICOM),chartevents,NICOM,,Text,,,Leg Raise Result (NICOM)
228373,Passive Leg Raise Performed,chartevents,NICOM,,Text,,,Passive Leg Raise Performed
229487,2 Stage CXR Insertion Technique (SBNET),chartevents,SBNET,,Text,,,2 Stage CXR Insertion Technique (SBNET)
229480,Patient identified correctly  (SBNET),chartevents,SBNET,,Text,,,Patient identified correctly  (SBNET)
229499,Order to use in POE (SBNET),chartevents,SBNET,,Text,,,Order to use in POE (SBNET)
229486,Topical Lidocaine used (SBNET),chartevents,SBNET,,Text,,,Topical Lidocaine used (SBNET)
229497,Final Position confirmed (SBNET),chartevents,SBNET,,Text,,,Final Position confirmed (SBNET)
229482,Hand cleansing prior to procedure  (SBNET),chartevents,SBNET,,Text,,,Hand cleansing prior to procedure  (SBNET)
229484,Route  (SBNET),chartevents,SBNET,,Text,,,Route  (SBNET)
229477,Indications (SBNET),chartevents,SBNET,,Text,,,Indications  (SBNET)
229483,Barrier precautions in place  (SBNET),chartevents,SBNET,,Text,,,Barrier precautions in place  (SBNET)
229481,Verification of  (SBNET),chartevents,SBNET,,Text,,,Verification of  (SBNET)
229479,Timeout performed by  (SBNET),chartevents,SBNET,,Text,,,Timeout performed by  (SBNET)
229489,Complications (SBNET),chartevents,SBNET,,Text,,,Complications (SBNET)
229498,Guidewire removed (SBNET),chartevents,SBNET,,Text,,,Guidewire removed (SBNET)
229629,PAP Alarm Source (Veletri),chartevents,Alarms,,Text,,,PAP Alarm Source (Veletri)
227241,PAP Alarm Source,chartevents,Alarms,,Text,,,PAP Alarm Source
227539,ART Blood Pressure Alarm Source,chartevents,Alarms,,Text,,,ART BP Alarm Source
227239,ABP Alarm Source,chartevents,Alarms,,Text,,,ABP Alarm Source
227240,NBP Alarm Source,chartevents,Alarms,,Text,,,NBP Alarm Source
227649,Fundus Character,chartevents,OB-GYN,,Text,,,Fundus Character
227644,Breast Feeding - R,chartevents,OB-GYN,,Text,,,Breast Feeding - R
227653,Pad Change/Hour,chartevents,OB-GYN,,Text,,,Pad Change/Hour
227648,Clots,chartevents,OB-GYN,,Text,,,Clots
227655,Reflexes UE,chartevents,OB-GYN,,Text,,,Reflexes UE
227643,Breast Feeding - L,chartevents,OB-GYN,,Text,,,Breast Feeding - L
227650,Fundus Location (Breadth),chartevents,OB-GYN,,Text,,,Fundus Location (Breadth)
227642,Breast Feeding,chartevents,OB-GYN,,Text,,,Breast Feeding
227651,Lochia Character,chartevents,OB-GYN,,Text,,,Lochia Character
227654,Reflexes LE,chartevents,OB-GYN,,Text,,,Reflexes LE
227652,Lochia Estimate,chartevents,OB-GYN,,Text,,,Lochia Estimate
227487,GU Irrigant Type,outputevents,Output,,Text,,,GU Irrigant Type
226586,Stool Estimate,outputevents,Output,,Text,,,Stool Estimate
226713,Incontinent/voids (estimate),outputevents,Output,,Text,,,Incontinent/voids (estimate)
223759,Precautions: Standard +,chartevents,General,,Text,,,Precautions: Standard +
227089,Discharge to,chartevents,General,,Text,,,Discharge to
227088,Admit from,chartevents,General,,Text,,,Admit from
227486,Printer,chartevents,General,,Text,,,Printer
224640,Service,chartevents,General,,Text,,,Service
227485,Print Job,chartevents,General,,Text,,,Print Job
223758,Code Status,chartevents,General,,Text,,,Code Status
223760,Health Care Proxy,chartevents,General,,Text,,,Health Care Proxy
228157,Placement Monitoring Screen,chartevents,Impella,,Text,,,Placement Monitoring Screen
229679,Type of Catheter (Impella),chartevents,Impella,,Text,,,Type of Catheter (Impella)
229676,Placement Monitoring Screen (R),chartevents,Impella,,Text,,,Placement Monitoring Screen (R)
228153,Dual Signal Screen,chartevents,Impella,,Text,,,Dual Signal Screen
229675,Performance Level (R),chartevents,Impella,,Text,,,Performance Level (R)
229670,Dual Signal Screen (R),chartevents,Impella,,Text,,,Dual Signal Screen (R)
228156,Performance Level,chartevents,Impella,,Text,,,Performance Level
225958,Heparin Concentration (units/mL),chartevents,Dialysis,,Text,,,Heparin Concentration  (units/mL)
225953,Solution (Peritoneal Dialysis),chartevents,Dialysis,,Text,,,Solution (PD)
225952,Medication Added #1 (Peritoneal Dialysis),chartevents,Dialysis,,Text,,,Medication Added #1 (PD)
227290,CRRT mode,chartevents,Dialysis,,Text,,,CRRT mode
227638,Medication Added #2 (Peritoneal Dialysis),chartevents,Dialysis,,Text,,,Medication Added #2 (PD)
225976,Replacement Fluid,chartevents,Dialysis,,Text,,,Replacement Fluid
225961,Medication Added Units #1 (Peritoneal Dialysis),chartevents,Dialysis,,Text,,,Medication Added Units #1 (PD)
225956,Reason for CRRT Filter Change,chartevents,Dialysis,,Text,,,Reason for Filter Change
227640,Medication Added Units #2 (Peritoneal Dialysis),chartevents,Dialysis,,Text,,,Medication Added Units #2 (PD)
225954,Dialysis Access Type,chartevents,Dialysis,,Text,,,Dialysis Access Type
225977,Dialysate Fluid,chartevents,Dialysis,,Text,,,Dialysate Fluid
225965,Peritoneal Dialysis Catheter Status,chartevents,Dialysis,,Text,,,PD Catheter Status
225951,Peritoneal Dialysis Fluid Appearance,chartevents,Dialysis,,Text,,,PD Fluid Appearance
224139,Dialysis Site Appearance,chartevents,Dialysis,,Text,,,Dialysis Site Appearance
224146,System Integrity,chartevents,Dialysis,,Text,,,System Integrity
225963,Peritoneal Dialysis Catheter Type,chartevents,Dialysis,,Text,,,PD Catheter Type
224135,Dialysis Access Site,chartevents,Dialysis,,Text,,,Dialysis Access Site
227849,Toilet,chartevents,OT Notes,,Text,,,Toilet
227834,LE Bathing,chartevents,OT Notes,,Text,,,LE Bathing
227915,Position - Rest - Aerobic Activity Response,chartevents,OT Notes,,Text,,,Position - Rest - Aerobic Activity Response
227837,Toileting,chartevents,OT Notes,,Text,,,Toileting
227881,Pain (0-10),chartevents,OT Notes,,Text,,,Pain (0-10)
227831,Grooming,chartevents,OT Notes,,Text,,,Grooming
227850,Commode,chartevents,OT Notes,,Text,,,Commode
227854,Weight Bearing Status,chartevents,OT Notes,,Text,,,Weight Bearing Status
227943,Anticipated Discharge,chartevents,OT Notes,,Text,,,Anticipated Discharge
227929,Position - Recovery - Aerobic Activity Response,chartevents,OT Notes,,Text,,,Position - Recovery - Aerobic Activity Response
227845,Rolling,chartevents,OT Notes,,Text,,,Rolling
227835,UE Dressing,chartevents,OT Notes,,Text,,,UE Dressing
227840,Money Management,chartevents,OT Notes,,Text,,,Money Management
227841,Community Integration,chartevents,OT Notes,,Text,,,Community Integration
227836,LE Dressing,chartevents,OT Notes,,Text,,,LE Dressing
227830,Self Feeding,chartevents,OT Notes,,Text,,,Self Feeding
227832,UE Bathing,chartevents,OT Notes,,Text,,,UE Bathing
227855,Assistive Device,chartevents,OT Notes,,Text,,,Assistive Device
227851,Shower / Tub,chartevents,OT Notes,,Text,,,Shower / Tub
227922,Position - Activity - Aerobic Activity Response,chartevents,OT Notes,,Text,,,Position - Activity - Aerobic Activity Response
227848,Transfer,chartevents,OT Notes,,Text,,,Transfer
227846,Supine / Side-lying to Sit,chartevents,OT Notes,,Text,,,Supine / Side-lying to Sit
227839,Home Management,chartevents,OT Notes,,Text,,,Home Management
227853,Other (Activity); Specify,chartevents,OT Notes,,Text,,,Other (Activity); Specify
227847,Sit to Stand,chartevents,OT Notes,,Text,,,Sit to Stand
229250,Cannula sites visually inspected (LVAD),chartevents,Centrimag,,Text,,,Cannula sites visually inspected (LVAD)
229253,Emergency Equipment at bedside (RVAD),chartevents,Centrimag,,Text,,,Emergency Equipment at bedside (RVAD)
229264,Suction events (LVAD),chartevents,Centrimag,,Text,,,Suction events (LVAD)
229251,Cannula sites visually inspected (RVAD),chartevents,Centrimag,,Text,,,Cannula sites visually inspected (RVAD)
229265,Suction events (RVAD),chartevents,Centrimag,,Text,,,Suction events (RVAD)
229261,Flow Sensor repositioned (RVAD),chartevents,Centrimag,,Text,,,Flow Sensor repositioned (RVAD)
229260,Flow Sensor repositioned (LVAD),chartevents,Centrimag,,Text,,,Flow Sensor repositioned (LVAD)
229252,Emergency Equipment at bedside (LVAD),chartevents,Centrimag,,Text,,,Emergency Equipment at bedside (LVAD)
229309,Backup Controller (HeartWare),chartevents,Heartware,,Text,,,Backup Controller (HeartWare)
224427,CT #2 Suction Amount,chartevents,Pulmonary,,Text,,,CT #2 Suction Amount
223997,CT #1 Dressing,chartevents,Pulmonary,,Text,,,CT #1 Dressing
224428,CT #3 Crepitus,chartevents,Pulmonary,,Text,,,CT #3 Crepitus
223988,LUL Lung Sounds,chartevents,Pulmonary,,Text,,,LUL Lung Sounds
223989,LLL Lung Sounds,chartevents,Pulmonary,,Text,,,LLL Lung Sounds
224437,CT #4 Suction Amount,chartevents,Pulmonary,,Text,,,CT #4 Suction Amount
224423,CT #2 Crepitus,chartevents,Pulmonary,,Text,,,CT #2 Crepitus
224430,CT #3 Drainage,chartevents,Pulmonary,,Text,,,CT #3 Drainage
224425,CT #2 Dressing,chartevents,Pulmonary,,Text,,,CT #2 Dressing
223990,Respiratory Effort,chartevents,Pulmonary,,Text,,,Respiratory Effort
224439,Chest Tube Site #3,chartevents,Pulmonary,,Text,,,Chest Tube Site #3
224431,CT #4 Drainage,chartevents,Pulmonary,,Text,,,CT #4 Drainage
224435,CT #4 Fluctuate,chartevents,Pulmonary,,Text,,,CT #4 Fluctuate
224806,CT #1 Suction Type,chartevents,Pulmonary,,Text,,,CT #1 Suction Type
224812,CT #4 Suction Type,chartevents,Pulmonary,,Text,,,CT #4 Suction Type
223991,Cough Effort,chartevents,Pulmonary,,Text,,,Cough Effort
223993,Chest Tube Site # 1,chartevents,Pulmonary,,Text,,,Chest Tube Site # 1
223987,RLL Lung Sounds,chartevents,Pulmonary,,Text,,,RLL Lung Sounds
223996,CT #1 Drainage,chartevents,Pulmonary,,Text,,,CT #1 Drainage
223986,RUL Lung Sounds,chartevents,Pulmonary,,Text,,,RUL Lung Sounds
224434,CT #3 Fluctuate,chartevents,Pulmonary,,Text,,,CT #3 Fluctuate
229323,Current Dyspnea Assessment,chartevents,Pulmonary,,Text,,,Current Dyspnea Assessment
224438,Chest Tube Site # 2,chartevents,Pulmonary,,Text,,,Chest Tube Site # 2
224779,CT #3 Leak,chartevents,Pulmonary,,Text,,,CT #3 Leak
229322,Breathing pattern/effort,chartevents,Pulmonary,,Text,,,Breathing pattern/effort
224429,CT #4 Crepitus,chartevents,Pulmonary,,Text,,,CT #4 Crepitus
224440,Chest Tube Site #4,chartevents,Pulmonary,,Text,,,Chest Tube Site #4
224810,CT #3 Suction Type,chartevents,Pulmonary,,Text,,,CT #3 Suction Type
223995,CT #1 Fluctuate,chartevents,Pulmonary,,Text,,,CT #1 Fluctuate
224775,CT #1 Leak,chartevents,Pulmonary,,Text,,,CT #1 Leak
223992,Cough Type,chartevents,Pulmonary,,Text,,,Cough Type
224781,CT #4 Leak,chartevents,Pulmonary,,Text,,,CT #4 Leak
224424,CT #2 Drainage,chartevents,Pulmonary,,Text,,,CT #2 Drainage
224426,CT #2 Fluctuate,chartevents,Pulmonary,,Text,,,CT #2 Fluctuate
224436,CT #3 Suction Amount,chartevents,Pulmonary,,Text,,,CT #3 Suction Amount
223994,CT #1 Suction Amount,chartevents,Pulmonary,,Text,,,CT #1 Suction Amount
224808,CT #2 Suction Type,chartevents,Pulmonary,,Text,,,CT #2 Suction Type
223998,CT #1 Crepitus,chartevents,Pulmonary,,Text,,,CT #1 Crepitus
224777,CT #2 Leak,chartevents,Pulmonary,,Text,,,CT #2 Leak
223985,Respiratory Pattern,chartevents,Pulmonary,,Text,,,Respiratory Pattern
224432,CT #3 Dressing,chartevents,Pulmonary,,Text,,,CT #3 Dressing
224433,CT #4 Dressing,chartevents,Pulmonary,,Text,,,CT #4 Dressing
228973,Altered Mental Status  NCP - Expected outcomes,chartevents,Care Plans,,Text,,,AMS NCP - Expected outcomes
228905,Altered Respiratory Status NCP - Interventions,chartevents,Care Plans,,Text,,,ARS NCP - Interventions
228935,Post-op Care NCP - Goal,chartevents,Care Plans,,Text,,,Post-op Care NCP - Goal
229111,Safety Restraints NCP - Problem resolved,chartevents,Care Plans,,Text,,,Safety Restraints NCP - Problem resolved
229154,Palliative Care NCP - Plan revised,chartevents,Care Plans,,Text,,,Palliative Care NCP - Plan revised
229103,Infection NCP - Problem resolved,chartevents,Care Plans,,Text,,,Infection NCP - Problem resolved
229118,Sensory disturbance NCP - Interventions,chartevents,Care Plans,,Text,,,Sensory disturbance NCP - Interventions
229133,Elimination NCP - Expected outcomes,chartevents,Care Plans,,Text,,,Elimination NCP - Expected outcomes
229003,Self harm NCP - Interventions,chartevents,Care Plans,,Text,,,Self harm NCP - Interventions
228928,Impaired Tissue Perfusion NCP - Interventions,chartevents,Care Plans,,Text,,,ITP NCP - Interventions
229342,Domestic Violence NCP - Problem resolved,chartevents,Care Plans,,Text,,,DV NCP - Problem resolved
228995,Discharge NCP - Goal,chartevents,Care Plans,,Text,,,Discharge NCP - Goal
229099,Impaired Fluid Balance NCP - Problem resolved,chartevents,Care Plans,,Text,,,IFB NCP - Problem resolved
228902,Altered Respiratory Status NCP - Expected outcomes,chartevents,Care Plans,,Text,,,ARS NCP - Expected outcomes
229120,Sensory disturbance NCP - Expected outcomes,chartevents,Care Plans,,Text,,,Sensory disturbance NCP - Expected outcomes
229152,Palliative Care NCP - Interventions,chartevents,Care Plans,,Text,,,Palliative Care NCP - Interventions
228895,Impaired Fluid Balance NCP - Goal,chartevents,Care Plans,,Text,,,IFB NCP - Goal
228959,Coping/Knowledge Deficit  NCP - outcomes met,chartevents,Care Plans,,Text,,,CKD NCP - outcomes met
229344,Impaired Mobility NCP - Expected outcomes,chartevents,Care Plans,,Text,,,IM NCP - Expected outcomes
229974,COVID NCP - Problem,chartevents,Care Plans,,Text,,,COVID NCP - Problem
229150,Palliative Care NCP - Expected outcomes,chartevents,Care Plans,,Text,,,Palliative Care NCP - Expected outcomes
229347,Impaired Mobility  NCP - Interventions,chartevents,Care Plans,,Text,,,IM NCP - Interventions
228907,Altered Respiratory Status NCP - outcomes met,chartevents,Care Plans,,Text,,,ARS NCP - outcomes met
228947,Infection NCP - Interventions,chartevents,Care Plans,,Text,,,Infection NCP - Interventions
229107,Pain NCP - Problem resolved,chartevents,Care Plans,,Text,,,Pain NCP - Problem resolved
229136,Substance withdrawal NCP - Expected outcomes,chartevents,Care Plans,,Text,,,Substance withdrawal NCP - Expected outcomes
229343,Domestic Violence NCP - Plan revised,chartevents,Care Plans,,Text,,,DV NCP - Plan revised
229100,Impaired Tissue Perfusion NCP - Plan revised,chartevents,Care Plans,,Text,,,ITP NCP - Plan revised
228983,Safety Restraints NCP - Expected outcomes,chartevents,Care Plans,,Text,,,Safety Restraints NCP - Expected outcomes
228957,Coping/Knowledge Deficit  NCP - Interventions,chartevents,Care Plans,,Text,,,CKD NCP - Interventions
228966,Nutrition  NCP - Interventions,chartevents,Care Plans,,Text,,,Nutrition NCP - Interventions
229369,Acuity Workload Question 1,chartevents,Care Plans,,Text,,,Acuity Workload Question 1
228937,Post-op Care NCP - Interventions,chartevents,Care Plans,,Text,,,Post-op Care NCP - Interventions
229091,Altered Respiratory Status NCP - Problem resolved,chartevents,Care Plans,,Text,,,ARS NCP - Problem resolved
229656,Stroke NCP - Water Swallow Deferred,chartevents,Care Plans,,Text,,,Stroke NCP - Water Swallow Deferred
228943,Infection NCP - Expected outcomes,chartevents,Care Plans,,Text,,,Infection NCP - Expected outcomes
228968,Nutrition  NCP - outcomes met,chartevents,Care Plans,,Text,,,Nutrition NCP - outcomes met
229134,Elimination NCP - Interventions,chartevents,Care Plans,,Text,,,Elimination NCP - Interventions
229122,Elimination NCP - Problem resolved,chartevents,Care Plans,,Text,,,Elimination NCP - Problem resolved
229330,Activity Intolerance  NCP - Interventions,chartevents,Care Plans,,Text,,,AI NCP - Interventions
228911,Altered Skin Integrity NCP - Expected outcomes,chartevents,Care Plans,,Text,,,ASI NCP - Expected outcomes
228888,Pain NCP - Expected outcomes,chartevents,Care Plans,,Text,,,Pain NCP - Expected outcomes
228945,Infection NCP - Goal,chartevents,Care Plans,,Text,,,Infection NCP - Goal
228999,Discharge NCP - Outcomes met,chartevents,Care Plans,,Text,,,Discharge NCP - Outcomes met
229098,Impaired Fluid Balance NCP - Plan revised,chartevents,Care Plans,,Text,,,IFB NCP - Plan revised
229339,Domestic Violence NCP - Interventions,chartevents,Care Plans,,Text,,,DV NCP - Interventions
229102,Infection NCP - Plan revised,chartevents,Care Plans,,Text,,,Infection NCP - Plan revised
229124,Altered Sensory Perception NCP - Expected Outcomes,chartevents,Care Plans,,Text,,,ASP NCP - Expected Outcomes
229095,Coping/Knowledge Deficit  NCP - Problem resolved,chartevents,Care Plans,,Text,,,CKD NCP - Problem resolved
229155,Palliative Care NCP - Problem resolved,chartevents,Care Plans,,Text,,,Palliative Care NCP - Problem resolved
229349,Impaired Mobility NCP - Problem resolved,chartevents,Care Plans,,Text,,,IM NCP - Problem resolved
228916,Altered Skin Integrity NCP - outcomes met,chartevents,Care Plans,,Text,,,ASI NCP - outcomes met
228949,Infection NCP - outcomes met,chartevents,Care Plans,,Text,,,Infection NCP - outcomes met
228962,Nutrition  NCP - Expected outcomes,chartevents,Care Plans,,Text,,,Nutrition NCP - Expected outcomes
229110,Safety Restraints NCP - Plan revised,chartevents,Care Plans,,Text,,,Safety Restraints NCP - Plan revised
228914,Altered Skin Integrity NCP - Interventions,chartevents,Care Plans,,Text,,,ASI NCP - Interventions
229143,Metabolic disturbance NCP - Expected outcomes,chartevents,Care Plans,,Text,,,Metabolic disturbance NCP - Expected outcomes
229335,Activity Intolerance NCP - Goal,chartevents,Care Plans,,Text,,,AI NCP - Goal
229979,COVID NCP - Plan revised,chartevents,Care Plans,,Text,,,COVID NCP - Plan revised
229145,Metabolic disturbance NCP - Interventions,chartevents,Care Plans,,Text,,,Metabolic disturbance NCP - Interventions
229148,Metabolic disturbance NCP - Problem resolved,chartevents,Care Plans,,Text,,,Metabolic disturbance NCP - Problem resolved
228988,Safety Restraints NCP - Interventions,chartevents,Care Plans,,Text,,,Safety Restraints NCP - Interventions
229005,Self harm NCP - Outcomes met,chartevents,Care Plans,,Text,,,Self harm NCP - Outcomes met
229088,Altered Mental Status  NCP - Plan revised,chartevents,Care Plans,,Text,,,AMS NCP - Plan revised
229646,Stroke NCP - Plan revised,chartevents,Care Plans,,Text,,,Stroke NCP - Plan revised
229648,Stroke NCP - Problem resolved,chartevents,Care Plans,,Text,,,Stroke NCP - Problem resolved
228926,Impaired Tissue Perfusion NCP - Goal,chartevents,Care Plans,,Text,,,ITP NCP - Goal
229641,Stroke NCP - Consults,chartevents,Care Plans,,Text,,,Stroke NCP - Consults
228953,Coping/Knowledge Deficit  NCP - Expected outcomes,chartevents,Care Plans,,Text,,,CKD NCP - Expected outcomes
229975,COVID NCP - Expected outcomes,chartevents,Care Plans,,Text,,,COVID NCP - Expected outcomes
229105,Nutrition  NCP - Problem resolved,chartevents,Care Plans,,Text,,,Nutrition NCP - Problem resolved
229327,Activity Intolerance  NCP - Expected outcomes,chartevents,Care Plans,,Text,,,AI NCP - Expected outcomes
229650,Stroke NCP - Water Swallow,chartevents,Care Plans,,Text,,,Stroke NCP - Water Swallow
228889,Pain NCP - Outcomes met,chartevents,Care Plans,,Text,,,Pain NCP - Outcomes met
228890,Pain NCP - Interventions,chartevents,Care Plans,,Text,,,Pain NCP - Interventions
229104,Nutrition  NCP - Plan revised,chartevents,Care Plans,,Text,,,Nutrition NCP - Plan revised
229113,Self harm NCP - Problem resolved,chartevents,Care Plans,,Text,,,Self harm NCP - Problem resolved
228939,Post-op Care NCP - Outcomes met,chartevents,Care Plans,,Text,,,Post-op Care NCP - Outcomes met
229147,Metabolic disturbance NCP - Plan revised,chartevents,Care Plans,,Text,,,Metabolic disturbance NCP - Plan revised
228898,Impaired Fluid Balance NCP - Interventions,chartevents,Care Plans,,Text,,,IFB NCP - Interventions
228964,Nutrition  NCP - Goal,chartevents,Care Plans,,Text,,,Nutrition NCP - Goal
228986,Safety Restraints NCP - Goal,chartevents,Care Plans,,Text,,,Safety Restraints NCP - Goal
229647,Stroke NCP - Problem,chartevents,Care Plans,,Text,,,Stroke NCP - Problem
229090,Altered Respiratory Status NCP - Plan revised,chartevents,Care Plans,,Text,,,ARS NCP - Plan revised
229094,Coping/Knowledge Deficit  NCP - Plan revised,chartevents,Care Plans,,Text,,,CKD NCP - Plan revised
229141,Substance withdrawal NCP - Problem resolved,chartevents,Care Plans,,Text,,,Substance withdrawal NCP - Problem resolved
229333,Activity Intolerance NCP - Plan revised,chartevents,Care Plans,,Text,,,AI NCP - Plan revised
229337,Domestic Violence NCP - Expected outcomes,chartevents,Care Plans,,Text,,,DV NCP - Expected outcomes
229123,Elimination NCP - Plan revised,chartevents,Care Plans,,Text,,,Elimination NCP - Plan revised
229126,Altered Sensory Perception NCP - Interventions,chartevents,Care Plans,,Text,,,ASP NCP - Interventions
