itemid,label,fluid,category
50873,Anti-Nuclear Antibody,Blood,Chemistry
50874,"Anti-Nuclear Antibody, Titer",Blood,Chemistry
50875,Anti-Parietal Cell Antibody,Blood,Chemistry
50876,Anti-Smooth Muscle Antibody,Blood,Chemistry
50877,Anti-Thyroglobulin Antibodies,Blood,Chemistry
50878,Asparate Aminotransferase (AST),Blood,Chemistry
50879,Barbiturate Screen,Blood,Chemistry
50880,Benzodiazepine Screen,Blood,Chemistry
50881,Beta-2 Microglobulin,Blood,Chemistry
50882,Bicarbonate,Blood,Chemistry
50883,"Bilirubin, Direct",Blood,Chemistry
50884,"Bilirubin, Indirect",Blood,Chemistry
50885,"Bilirubin, Total",Blood,Chemistry
50886,Blood Culture Hold,Blood,Chemistry
50887,Blue Top Hold,Blood,Chemistry
50888,Blue Top Hold Frozen,Blood,Chemistry
50889,C-Reactive Protein,Blood,Chemistry
50890,C3,Blood,Chemistry
50891,C4,Blood,Chemistry
50892,CA-125,Blood,Chemistry
50893,"Calcium, Total",Blood,Chemistry
50894,Calculated Free Testosterone,Blood,Chemistry
50895,Calculated TBG,Blood,Chemistry
50896,Calculated Thyroxine (T4) Index,Blood,Chemistry
50897,Call,Blood,Chemistry
50898,Cancer Antigen 27.29,Blood,Chemistry
50899,Carbamazepine,Blood,Chemistry
50900,Carcinoembyronic Antigen (CEA),Blood,Chemistry
50901,Centromere,Blood,Chemistry
50902,Chloride,Blood,Chemistry
50903,Cholesterol Ratio (Total/HDL),Blood,Chemistry
50904,"Cholesterol, HDL",Blood,Chemistry
50905,"Cholesterol, LDL, Calculated",Blood,Chemistry
50906,"Cholesterol, LDL, Measured",Blood,Chemistry
50907,"Cholesterol, Total",Blood,Chemistry
50908,CK-MB Index,Blood,Chemistry
50909,Cortisol,Blood,Chemistry
50910,Creatine Kinase (CK),Blood,Chemistry
50911,"Creatine Kinase, MB Isoenzyme",Blood,Chemistry
50912,Creatinine,Blood,Chemistry
50913,Cryoglobulin,Blood,Chemistry
50914,Cyclosporin,Blood,Chemistry
50915,D-Dimer,Blood,Chemistry
50916,DHEA-Sulfate,Blood,Chemistry
50917,Digoxin,Blood,Chemistry
50918,Double Stranded DNA,Blood,Chemistry
50919,EDTA Hold,Blood,Chemistry
50920,Estimated GFR (MDRD equation),Blood,Chemistry
50921,Estradiol,Blood,Chemistry
50922,Ethanol,Blood,Chemistry
50923,Fax,Blood,Chemistry
50924,Ferritin,Blood,Chemistry
50925,Folate,Blood,Chemistry
50926,Follicle Stimulating Hormone,Blood,Chemistry
50927,Gamma Glutamyltransferase,Blood,Chemistry
50928,Gastrin,Blood,Chemistry
50929,Gentamicin,Blood,Chemistry
50930,Globulin,Blood,Chemistry
50931,Glucose,Blood,Chemistry
50932,Gray Top Hold (plasma),Blood,Chemistry
50933,Green Top Hold (plasma),Blood,Chemistry
50934,H,Blood,Chemistry
50935,Haptoglobin,Blood,Chemistry
50936,"HCG, Maternal Screen",Blood,Chemistry
50937,Hepatitis A Virus Antibody,Blood,Chemistry
50938,Hepatitis A Virus IgM Antibody,Blood,Chemistry
50939,"Hepatitis B Core Antibody, IgM",Blood,Chemistry
50940,Hepatitis B Surface Antibody,Blood,Chemistry
50941,Hepatitis B Surface Antigen,Blood,Chemistry
50942,Hepatitis B Virus Core Antibody,Blood,Chemistry
50943,Hepatitis C Virus Antibody,Blood,Chemistry
50944,HIV Antibody,Blood,Chemistry
50945,Homocysteine,Blood,Chemistry
50946,Human Chorionic Gonadotropin,Blood,Chemistry
50947,I,Blood,Chemistry
50948,Immunofixation,Blood,Chemistry
50949,Immunoglobulin A,Blood,Chemistry
50950,Immunoglobulin G,Blood,Chemistry
50951,Immunoglobulin M,Blood,Chemistry
50952,Iron,Blood,Chemistry
50953,"Iron Binding Capacity, Total",Blood,Chemistry
50954,Lactate Dehydrogenase (LD),Blood,Chemistry
50955,Light Green Top Hold,Blood,Chemistry
50956,Lipase,Blood,Chemistry
50957,Lithium,Blood,Chemistry
50958,Luteinizing Hormone,Blood,Chemistry
50959,Macro Prolactin,Blood,Chemistry
50960,Magnesium,Blood,Chemistry
50961,Methotrexate,Blood,Chemistry
50962,N-Acetylprocainamide (NAPA),Blood,Chemistry
50963,NTproBNP,Blood,Chemistry
50964,"Osmolality, Measured",Blood,Chemistry
50965,Parathyroid Hormone,Blood,Chemistry
50966,Phenobarbital,Blood,Chemistry
50967,Phenytoin,Blood,Chemistry
50968,"Phenytoin, Free",Blood,Chemistry
50969,"Phenytoin, Percent Free",Blood,Chemistry
50970,Phosphate,Blood,Chemistry
50971,Potassium,Blood,Chemistry
50972,Procainamide,Blood,Chemistry
50973,Prolactin,Blood,Chemistry
50974,Prostate Specific Antigen,Blood,Chemistry
50975,Protein Electrophoresis,Blood,Chemistry
50976,"Protein, Total",Blood,Chemistry
50977,Quinidine,Blood,Chemistry
50978,Rapamycin,Blood,Chemistry
50979,Red Top Hold,Blood,Chemistry
50980,Rheumatoid Factor,Blood,Chemistry
50981,Salicylate,Blood,Chemistry
50982,Sex Hormone Binding Globulin,Blood,Chemistry
50983,Sodium,Blood,Chemistry
50984,Stat,Blood,Chemistry
50985,Study Tubes,Blood,Chemistry
50986,tacroFK,Blood,Chemistry
50988,Testosterone,Blood,Chemistry
50989,"Testosterone, Free",Blood,Chemistry
50990,Theophylline,Blood,Chemistry
50991,Thyroglobulin,Blood,Chemistry
50992,Thyroid Peroxidase Antibodies,Blood,Chemistry
50993,Thyroid Stimulating Hormone,Blood,Chemistry
50994,Thyroxine (T4),Blood,Chemistry
50995,"Thyroxine (T4), Free",Blood,Chemistry
50996,"Tissue Transglutaminase Ab, IgA",Blood,Chemistry
50997,Tobramycin,Blood,Chemistry
50998,Transferrin,Blood,Chemistry
50999,Tricyclic Antidepressant Screen,Blood,Chemistry
51000,Triglycerides,Blood,Chemistry
51001,Triiodothyronine (T3),Blood,Chemistry
51002,Troponin I,Blood,Chemistry
51003,Troponin T,Blood,Chemistry
51004,"UE3, Maternal Screen",Blood,Chemistry
51005,Uptake Ratio,Blood,Chemistry
51006,Urea Nitrogen,Blood,Chemistry
51007,Uric Acid,Blood,Chemistry
51008,Valproic Acid,Blood,Chemistry
51009,Vancomycin,Blood,Chemistry
51010,Vitamin B12,Blood,Chemistry
51019,"Albumin, Joint Fluid",Joint Fluid,Chemistry
51020,"Amylase, Joint Fluid",Joint Fluid,Chemistry
51021,"Creatinine, Joint Fluid",Joint Fluid,Chemistry
51022,"Glucose, Joint Fluid",Joint Fluid,Chemistry
51023,"LD, Joint Fluid",Joint Fluid,Chemistry
51024,"Total Protein, Joint Fluid",Joint Fluid,Chemistry
51025,"Albumin, Body Fluid",Other Body Fluid,Chemistry
51026,"Amylase, Body Fluid",Other Body Fluid,Chemistry
51027,"Bicarbonate, Other Fluid",Other Body Fluid,Chemistry
51028,"Bilirubin, Total, Body Fluid",Other Body Fluid,Chemistry
51029,"Calcium, Body Fluid",Other Body Fluid,Chemistry
51030,"Chloride, Body Fluid",Other Body Fluid,Chemistry
51031,"Cholesterol, Body Fluid",Other Body Fluid,Chemistry
51032,"Creatinine, Body Fluid",Other Body Fluid,Chemistry
51033,FetalFN,Other Body Fluid,Chemistry
51034,"Glucose, Body Fluid",Other Body Fluid,Chemistry
51035,"LD, Body Fluid",Other Body Fluid,Chemistry
51036,"Lipase, Body Fluid",Other Body Fluid,Chemistry
51037,"Magnesium, Body Fluid",Other Body Fluid,Chemistry
51038,"Miscellaneous, Body Fluid",Other Body Fluid,Chemistry
51039,"Osmolality, Body Fluid",Other Body Fluid,Chemistry
51040,"Phosphate, Body Fluid",Other Body Fluid,Chemistry
51041,"Potassium, Body Fluid",Other Body Fluid,Chemistry
51042,"Sodium, Body Fluid",Other Body Fluid,Chemistry
51043,"Total Protein, Body Fluid",Other Body Fluid,Chemistry
51044,Triglycer,Other Body Fluid,Chemistry
51045,"Urea Nitrogen, Body Fluid",Other Body Fluid,Chemistry
51046,"Albumin, Pleural",Pleural,Chemistry
51047,"Amylase, Pleural",Pleural,Chemistry
51048,"Bicarbonate, Pleural",Pleural,Chemistry
51049,"Bilirubin, Total, Pleural",Pleural,Chemistry
51050,"Chloride, Pleural",Pleural,Chemistry
51051,"Cholesterol, Pleural",Pleural,Chemistry
51052,"Creatinine, Pleural",Pleural,Chemistry
51053,"Glucose, Pleural",Pleural,Chemistry
51054,"Lactate Dehydrogenase, Pleural",Pleural,Chemistry
51055,"Lipase, Pleural",Pleural,Chemistry
51056,"Miscellaneous, Pleural",Pleural,Chemistry
51057,"Potassium, Pleural",Pleural,Chemistry
51058,"Sodium, Pleural",Pleural,Chemistry
51059,"Total Protein, Pleural",Pleural,Chemistry
51060,"Triglycerides, Pleural",Pleural,Chemistry
51061,"Bicarbonate, Stool",Stool,Chemistry
51062,"Chloride, Stool",Stool,Chemistry
51063,"Osmolality, Stool",Stool,Chemistry
51064,"Potassium, Stool",Stool,Chemistry
51065,"Sodium, Stool",Stool,Chemistry
51066,24 hr Calcium,Urine,Chemistry
51067,24 hr Creatinine,Urine,Chemistry
51068,24 hr Protein,Urine,Chemistry
51069,"Albumin, Urine",Urine,Chemistry
51070,"Albumin/Creatinine, Urine",Urine,Chemistry
51071,"Amphetamine Screen, Urine",Urine,Chemistry
51072,"Amylase, Urine",Urine,Chemistry
51073,"Amylase/Creatinine Ratio, Urine",Urine,Chemistry
51074,"Barbiturate Screen, Urine",Urine,Chemistry
51075,"Benzodiazepine Screen, Urine",Urine,Chemistry
51076,"Bicarbonate, Urine",Urine,Chemistry
51077,"Calcium, Urine",Urine,Chemistry
51078,"Chloride, Urine",Urine,Chemistry
51079,"Cocaine, Urine",Urine,Chemistry
51080,Creatinine Clearance,Urine,Chemistry
51081,"Creatinine, Serum",Urine,Chemistry
51082,"Creatinine, Urine",Urine,Chemistry
51083,"Ethanol, Urine",Urine,Chemistry
51084,"Glucose, Urine",Urine,Chemistry
51085,"HCG, Urine, Qualitative",Urine,Chemistry
51086,"Immunofixation, Urine",Urine,Chemistry
51087,Length of Urine Collection,Urine,Chemistry
51088,"Magnesium, Urine",Urine,Chemistry
51089,Marijuana,Urine,Chemistry
51090,"Methadone, Urine",Urine,Chemistry
51091,"Myoglobin, Urine",Urine,Chemistry
51092,"Opiate Screen, Urine",Urine,Chemistry
51093,"Osmolality, Urine",Urine,Chemistry
51094,pH,Urine,Chemistry
51095,"Phosphate, Urine",Urine,Chemistry
51096,Porphobilinogen Screen,Urine,Chemistry
51097,"Potassium, Urine",Urine,Chemistry
51098,"Prot. Electrophoresis, Urine",Urine,Chemistry
51099,Protein/Creatinine Ratio,Urine,Chemistry
51100,"Sodium, Urine",Urine,Chemistry
51101,Total Collection Time,Urine,Chemistry
51102,"Total Protein, Urine",Urine,Chemistry
51103,Uhold,Urine,Chemistry
51104,"Urea Nitrogen, Urine",Urine,Chemistry
51105,"Uric Acid, Urine",Urine,Chemistry
51106,Urine Creatinine,Urine,Chemistry
51107,"Urine tube, held",Urine,Chemistry
51108,Urine Volume,Urine,Chemistry
51109,"Urine Volume, Total",Urine,Chemistry
51110,Atypical Lymphocytes,Ascites,Hematology
51111,Bands,Ascites,Hematology
51112,Basophils,Ascites,Hematology
51113,Blasts,Ascites,Hematology
51114,Eosinophils,Ascites,Hematology
51115,"Hematocrit, Ascites",Ascites,Hematology
51116,Lymphocytes,Ascites,Hematology
51117,Macrophage,Ascites,Hematology
51118,Mesothelial Cell,Ascites,Hematology
51119,Metamyelocytes,Ascites,Hematology
51120,Monocytes,Ascites,Hematology
51121,Myelocytes,Ascites,Hematology
51122,Nucleated RBC,Ascites,Hematology
51123,Other,Ascites,Hematology
51124,Plasma,Ascites,Hematology
51125,Polys,Ascites,Hematology
51126,Promyelocytes,Ascites,Hematology
51127,"RBC, Ascites",Ascites,Hematology
51129,Young,Ascites,Hematology
51130,Absolute CD3 Count,Blood,Hematology
51131,Absolute CD4 Count,Blood,Hematology
51132,Absolute CD8 Count,Blood,Hematology
51133,Absolute Lymphocyte Count,Blood,Hematology
51134,Acanthocytes,Blood,Hematology
51135,ADP,Blood,Hematology
51136,Alpha Antiplasmin,Blood,Hematology
51137,Anisocytosis,Blood,Hematology
51138,Anticardiolipin Antibody IgG,Blood,Hematology
51139,Anticardiolipin Antibody IgM,Blood,Hematology
51140,Antithrombin,Blood,Hematology
51141,APT Test,Blood,Hematology
51142,Arachadonic Acid,Blood,Hematology
51143,Atypical Lymphocytes,Blood,Hematology
51144,Bands,Blood,Hematology
51145,Basophilic Stippling,Blood,Hematology
51146,Basophils,Blood,Hematology
51147,Bite Cells,Blood,Hematology
51148,Blasts,Blood,Hematology
51149,Bleeding Time,Blood,Hematology
51150,Blood Parasite Smear,Blood,Hematology
51152,CD10,Blood,Hematology
51153,CD103,Blood,Hematology
51154,CD117,Blood,Hematology
51155,CD11c,Blood,Hematology
51156,CD13,Blood,Hematology
51157,CD138,Blood,Hematology
51158,CD14,Blood,Hematology
51159,CD15,Blood,Hematology
51161,CD16,Blood,Hematology
51162,CD16/56 Absolute Count,Blood,Hematology
51163,CD16/56%,Blood,Hematology
51164,CD19,Blood,Hematology
51165,CD19 %,Blood,Hematology
51166,CD19 Absolute Count,Blood,Hematology
51167,CD2,Blood,Hematology
51168,CD20,Blood,Hematology
51169,CD20 %,Blood,Hematology
51170,CD20 Absolute Count,Blood,Hematology
51171,CD22,Blood,Hematology
51172,CD23,Blood,Hematology
51173,CD25,Blood,Hematology
51174,CD3 %,Blood,Hematology
51175,CD3 Absolute Count,Blood,Hematology
51176,"CD3 Cells, Percent",Blood,Hematology
51177,CD33,Blood,Hematology
51178,CD34,Blood,Hematology
51179,CD38,Blood,Hematology
51180,"CD4 Cells, Percent",Blood,Hematology
51181,CD4/CD8 Ratio,Blood,Hematology
51182,CD41,Blood,Hematology
51183,CD45,Blood,Hematology
51184,CD5,Blood,Hematology
51185,CD5 %,Blood,Hematology
51186,CD5 Absolute Count,Blood,Hematology
51187,CD55,Blood,Hematology
51188,CD56,Blood,Hematology
51189,CD57,Blood,Hematology
51190,CD59,Blood,Hematology
51191,CD64,Blood,Hematology
51192,CD7,Blood,Hematology
51193,CD71,Blood,Hematology
51194,"CD8 Cells, Percent",Blood,Hematology
51195,Collagen,Blood,Hematology
51196,D-Dimer,Blood,Hematology
51197,Elliptocytes,Blood,Hematology
51198,Envelope Cells,Blood,Hematology
51199,Eosinophil Count,Blood,Hematology
51200,Eosinophils,Blood,Hematology
51201,Epinepherine,Blood,Hematology
51202,Factor II,Blood,Hematology
51203,Factor IX,Blood,Hematology
51204,Factor V,Blood,Hematology
51205,Factor VII,Blood,Hematology
51206,Factor VIII,Blood,Hematology
51207,Factor VIII Inhibitor,Blood,Hematology
51208,Factor X,Blood,Hematology
51209,Factor XI,Blood,Hematology
51210,Factor XII,Blood,Hematology
51211,Factor XIII,Blood,Hematology
51212,Fetal Hemoglobin,Blood,Hematology
51213,Fibrin Degradation Products,Blood,Hematology
51214,"Fibrinogen, Functional",Blood,Hematology
51215,FMC-7,Blood,Hematology
51216,Fragmented Cells,Blood,Hematology
51217,Glyco A,Blood,Hematology
51218,Granulocyte Count,Blood,Hematology
51219,H/O Smear,Blood,Hematology
51220,Heinz Body Prep,Blood,Hematology
51221,Hematocrit,Blood,Hematology
51222,Hemoglobin,Blood,Hematology
51223,Hemoglobin A2,Blood,Hematology
51224,Hemoglobin C,Blood,Hematology
51225,Hemoglobin F,Blood,Hematology
51226,Hemogloblin A,Blood,Hematology
51227,Hemogloblin S,Blood,Hematology
51228,Heparin,Blood,Hematology
51229,"Heparin, LMW",Blood,Hematology
51230,HLA-DR,Blood,Hematology
51231,Howell-Jolly Bodies,Blood,Hematology
51232,Hypersegmented Neutrophils,Blood,Hematology
51233,Hypochromia,Blood,Hematology
51234,Immunophenotyping,Blood,Hematology
51235,Inhibitor Screen,Blood,Hematology
51236,Inpatient Hematology/Oncology Smear,Blood,Hematology
51237,INR(PT),Blood,Hematology
51238,Kappa,Blood,Hematology
51239,Lambda,Blood,Hematology
51240,Large Platelets,Blood,Hematology
51241,Leukocyte Alkaline Phosphatase,Blood,Hematology
51242,LUC,Blood,Hematology
51243,Lupus Anticoagulant,Blood,Hematology
51244,Lymphocytes,Blood,Hematology
51245,"Lymphocytes, Percent",Blood,Hematology
51246,Macrocytes,Blood,Hematology
51247,MacroOvalocytes,Blood,Hematology
51248,MCH,Blood,Hematology
51249,MCHC,Blood,Hematology
51250,MCV,Blood,Hematology
51251,Metamyelocytes,Blood,Hematology
51252,Microcytes,Blood,Hematology
51253,Monocyte Count,Blood,Hematology
51254,Monocytes,Blood,Hematology
51255,Myelocytes,Blood,Hematology
51256,Neutrophils,Blood,Hematology
51257,Nucleated Red Cells,Blood,Hematology
51258,Osmotic Fragility,Blood,Hematology
51259,Other Cells,Blood,Hematology
51260,Ovalocytes,Blood,Hematology
51261,Pappenheimer Bodies,Blood,Hematology
51262,Pencil Cells,Blood,Hematology
51263,Plasma Cells,Blood,Hematology
51264,Platelet Clumps,Blood,Hematology
51265,Platelet Count,Blood,Hematology
51266,Platelet Smear,Blood,Hematology
51267,Poikilocytosis,Blood,Hematology
51268,Polychromasia,Blood,Hematology
51269,Promyelocytes,Blood,Hematology
51270,"Protein C, Antigen",Blood,Hematology
51271,"Protein C, Functional",Blood,Hematology
51272,"Protein S, Antigen",Blood,Hematology
51273,"Protein S, Functional",Blood,Hematology
51274,PT,Blood,Hematology
51275,PTT,Blood,Hematology
51276,Quantitative G6PD,Blood,Hematology
51277,RDW,Blood,Hematology
51278,Red Blood Cell Fragments,Blood,Hematology
51279,Red Blood Cells,Blood,Hematology
51280,Reptilase Time,Blood,Hematology
51281,Reptilase Time Control,Blood,Hematology
51282,"Reticulocyte Count, Absolute",Blood,Hematology
51283,"Reticulocyte Count, Automated",Blood,Hematology
51284,"Reticulocyte Count, Manual",Blood,Hematology
51285,"Reticulocyte, Cellular Hemoglobin",Blood,Hematology
51286,Ristocetin,Blood,Hematology
51287,Schistocytes,Blood,Hematology
51288,Sedimentation Rate,Blood,Hematology
51289,Serum Viscosity,Blood,Hematology
51290,Sickle Cell Preparation,Blood,Hematology
51291,Sickle Cells,Blood,Hematology
51292,Spherocytes,Blood,Hematology
51293,Sugar Water Test,Blood,Hematology
51294,Target Cells,Blood,Hematology
51295,TdT,Blood,Hematology
51296,Teardrop Cells,Blood,Hematology
51297,Thrombin,Blood,Hematology
51298,Von Willebrand Factor Activity,Blood,Hematology
51299,Von Willebrand Factor Antigen,Blood,Hematology
51300,WBC Count,Blood,Hematology
51301,White Blood Cells,Blood,Hematology
51302,Young Cells,Blood,Hematology
51303,CD10,Bone Marrow,Hematology
51304,CD103,Bone Marrow,Hematology
51305,CD117,Bone Marrow,Hematology
51306,CD11c,Bone Marrow,Hematology
51307,CD13,Bone Marrow,Hematology
51308,CD138,Bone Marrow,Hematology
51309,CD14,Bone Marrow,Hematology
51310,CD15,Bone Marrow,Hematology
51311,CD16,Bone Marrow,Hematology
51312,CD16/56,Bone Marrow,Hematology
51313,CD19,Bone Marrow,Hematology
51314,CD2,Bone Marrow,Hematology
51315,CD20,Bone Marrow,Hematology
51316,CD22,Bone Marrow,Hematology
51317,CD23,Bone Marrow,Hematology
51318,CD25,Bone Marrow,Hematology
51319,CD3,Bone Marrow,Hematology
51320,CD33,Bone Marrow,Hematology
51321,CD34,Bone Marrow,Hematology
51322,CD38,Bone Marrow,Hematology
51323,CD4,Bone Marrow,Hematology
51324,CD41,Bone Marrow,Hematology
51325,CD45,Bone Marrow,Hematology
51326,CD5,Bone Marrow,Hematology
51327,CD55,Bone Marrow,Hematology
51328,CD56,Bone Marrow,Hematology
51329,CD57,Bone Marrow,Hematology
51330,CD59,Bone Marrow,Hematology
51331,CD64,Bone Marrow,Hematology
51332,CD7,Bone Marrow,Hematology
51333,CD71,Bone Marrow,Hematology
51334,CD8,Bone Marrow,Hematology
51335,FMC-7,Bone Marrow,Hematology
51336,Glyco A,Bone Marrow,Hematology
51337,HLA-DR,Bone Marrow,Hematology
51338,Immunophenotyping,Bone Marrow,Hematology
51339,Iron Stain,Bone Marrow,Hematology
51340,Kappa,Bone Marrow,Hematology
51341,Lambda,Bone Marrow,Hematology
51342,Wright Giemsa,Bone Marrow,Hematology
51365,Atypical Lymphocytes,Joint Fluid,Hematology
51366,Bands,Joint Fluid,Hematology
51367,Basophils,Joint Fluid,Hematology
51368,Eosinophils,Joint Fluid,Hematology
51369,"Hematocrit, Joint Fluid",Joint Fluid,Hematology
51370,"Joint Crystals, Birefringence",Joint Fluid,Hematology
51371,"Joint Crystals, Comment",Joint Fluid,Hematology
51372,"Joint Crystals, Location",Joint Fluid,Hematology
51373,"Joint Crystals, Number",Joint Fluid,Hematology
51374,"Joint Crystals, Shape",Joint Fluid,Hematology
51375,Lymphocytes,Joint Fluid,Hematology
51376,Macrophage,Joint Fluid,Hematology
51377,Mesothelial Cells,Joint Fluid,Hematology
51378,Metamyelocytes,Joint Fluid,Hematology
51379,Monocytes,Joint Fluid,Hematology
51380,NRBC,Joint Fluid,Hematology
51381,Other,Joint Fluid,Hematology
51382,Polys,Joint Fluid,Hematology
51383,"RBC, Joint Fluid",Joint Fluid,Hematology
51385,Atypical Lymphocytes,Other Body Fluid,Hematology
51386,Bands,Other Body Fluid,Hematology
51387,Basophils,Other Body Fluid,Hematology
51388,CD10,Other Body Fluid,Hematology
51389,CD103,Other Body Fluid,Hematology
51390,CD117,Other Body Fluid,Hematology
51391,CD11c,Other Body Fluid,Hematology
51392,CD13,Other Body Fluid,Hematology
51393,CD138,Other Body Fluid,Hematology
51394,CD14,Other Body Fluid,Hematology
51395,CD15,Other Body Fluid,Hematology
51396,CD16,Other Body Fluid,Hematology
51397,CD16/56,Other Body Fluid,Hematology
51398,CD19,Other Body Fluid,Hematology
51399,CD2,Other Body Fluid,Hematology
51400,CD20,Other Body Fluid,Hematology
51401,CD22,Other Body Fluid,Hematology
51402,CD23,Other Body Fluid,Hematology
51403,CD25,Other Body Fluid,Hematology
51404,CD3,Other Body Fluid,Hematology
51405,CD33,Other Body Fluid,Hematology
51406,CD34,Other Body Fluid,Hematology
51407,CD38,Other Body Fluid,Hematology
51408,CD4,Other Body Fluid,Hematology
51409,CD4/CD8 Ratio,Other Body Fluid,Hematology
51410,CD41,Other Body Fluid,Hematology
51411,CD45,Other Body Fluid,Hematology
51412,CD5,Other Body Fluid,Hematology
51413,CD56,Other Body Fluid,Hematology
51414,CD57,Other Body Fluid,Hematology
51415,CD64,Other Body Fluid,Hematology
51416,CD7,Other Body Fluid,Hematology
51417,CD71,Other Body Fluid,Hematology
51418,CD8,Other Body Fluid,Hematology
51419,Eosinophils,Other Body Fluid,Hematology
51420,FMC-7,Other Body Fluid,Hematology
51421,Glyco A,Other Body Fluid,Hematology
51422,"Hematocrit, Other Fluid",Other Body Fluid,Hematology
51423,HLA-DR,Other Body Fluid,Hematology
51424,Immunophenotyping,Other Body Fluid,Hematology
51425,Kappa,Other Body Fluid,Hematology
51426,Lambda,Other Body Fluid,Hematology
51427,Lymphocytes,Other Body Fluid,Hematology
51428,Macrophage,Other Body Fluid,Hematology
51429,Mesothelial cells,Other Body Fluid,Hematology
51430,Metamyelocytes,Other Body Fluid,Hematology
51431,Monos,Other Body Fluid,Hematology
51432,Myelocytes,Other Body Fluid,Hematology
51433,NRBC,Other Body Fluid,Hematology
51434,Other Cell,Other Body Fluid,Hematology
51435,Plasma,Other Body Fluid,Hematology
51436,Polys,Other Body Fluid,Hematology
51437,Promyelocytes,Other Body Fluid,Hematology
51438,"RBC, Other Fluid",Other Body Fluid,Hematology
51440,Atypical Lymphocytes,Pleural,Hematology
51441,Bands,Pleural,Hematology
51442,Basophils,Pleural,Hematology
51443,Blasts,Pleural,Hematology
51444,Eosinophils,Pleural,Hematology
51445,"Hematocrit, Pleural",Pleural,Hematology
51446,Lymphocytes,Pleural,Hematology
51447,Macrophages,Pleural,Hematology
51448,Mesothelial Cells,Pleural,Hematology
51449,Metamyelocytes,Pleural,Hematology
51450,Monos,Pleural,Hematology
51451,Myelocytes,Pleural,Hematology
51452,NRBC,Pleural,Hematology
51453,Other,Pleural,Hematology
51454,Plasma Cells,Pleural,Hematology
51455,Polys,Pleural,Hematology
