LOINC_NUM,COMPONENT
100100-7,Fasciola sp Ab.IgG
100101-5,Fasciola sp 8-9kD Ab.IgG
100102-3,Fasciola sp 27-28kD Ab.IgG
100103-1,Fasciola sp 60kD Ab.IgG
100104-9,Fasciola sp 42kD Ab.IgG
100105-6,Filaria Ab.IgG & IgM panel
100106-4,Filaria Ab.IgG
10010-7,R' wave amplitude.lead AVF
100107-2,Leishmania sp Ab.IgG
100108-0,Leishmania sp Ab.IgG
100109-8,Leishmania sp Ab bands panel
100110-6,Leishmania sp 14kD Ab.IgG
100111-4,Leishmania sp 16kD Ab.IgG
100112-2,Fasciola sp Ab bands panel
100113-0,Helicobacter pylori Ab panel
100114-8,Toxoplasma gondii 30kD Ab
10011-5,R' wave amplitude.lead AVL
100115-5,Toxoplasma gondii 31kD Ab
100116-3,Toxoplasma gondii 33kD Ab
100117-1,Toxoplasma gondii 40kD Ab
100118-9,Toxoplasma gondii 41kD Ab
100119-7,Toxoplasma gondii 45kD Ab
100120-5,Chlamydia trachomatis Ab panel
100121-3,Chlamydia trachomatis Ab.IgA
100122-1,Chlamydophila pneumoniae Ab panel
10012-3,R' wave amplitude.lead AVR
100123-9,Chlamydophila pneumoniae Ab.IgA
100124-7,Chlamydophila pneumoniae Ab.IgA
100125-4,Chlamydophila psittaci Ab panel
100126-2,Bordetella pertussis Ab.IgG panel
100127-0,Campylobacter sp Ab panel
100128-8,Cryptococcus sp Ag panel
100129-6,Schistosoma sp Ab
100130-4,Schistosoma mansoni Ab
10013-1,R' wave amplitude.lead I
100131-2,Schistosoma sp 8kD Ab
100132-0,Schistosoma sp 9kD Ab
100133-8,Schistosoma sp 10kD Ab
100134-6,Schistosoma sp 11kD Ab
100135-3,Schistosoma sp 12-13kD Ab
100136-1,Schistosoma sp 14-15kD Ab
100137-9,Schistosoma sp 15-16kD Ab
100138-7,Schistosoma sp 18-19kD Ab
100139-5,Schistosoma sp 22-24kD Ab
100140-3,Schistosoma sp 30-34kD Ab
100141-1,Schistosoma sp 65kD Ab
100142-9,Schistosoma sp 70kD Ab
100143-7,Schistosoma sp 80kD Ab
100144-5,Schistosoma sp 95kD Ab
100145-2,Schistosoma sp 110kD Ab
100146-0,Schistosoma sp 120kD Ab
100147-8,Toxoplasma gondii Ab bands panel
100148-6,Schistosoma sp Ab bands panel
10014-9,R' wave amplitude.lead II
100149-4,6-oxo-piperidine-2-carboxylate & 6(R+S)-oxo-propylpiperidine-2-carboxylate panel
100150-2,6(R+S)-oxo-propylpiperidine-2-carboxylate
100151-0,6-oxo-piperidine-2-carboxylate
100152-8,6-oxo-piperidine-2-carboxylate/Creatinine
100153-6,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine
100154-4,Collection supervision level
100155-1,Analysis method
10015-6,R' wave amplitude.lead III
100156-9,SARS coronavirus 2 variant
100157-7,SARS coronavirus 2 lineage
10016-4,R' wave amplitude.lead V1
1001-7,DBG Ab
10017-2,R' wave amplitude.lead V2
10018-0,R' wave amplitude.lead V3
10019-8,R' wave amplitude.lead V4
10020-6,R' wave amplitude.lead V5
10021-4,R' wave amplitude.lead V6
10022-2,R' wave duration.lead AVF
10023-0,R' wave duration.lead AVL
10024-8,R' wave duration.lead AVR
1002-5,DBG Ab
10025-5,R' wave duration.lead I
10026-3,R' wave duration.lead II
10027-1,R' wave duration.lead III
10028-9,R' wave duration.lead V1
10029-7,R' wave duration.lead V2
10030-5,R' wave duration.lead V3
10031-3,R' wave duration.lead V4
10032-1,R' wave duration.lead V5
1003-3,Indirect antiglobulin test.complement specific reagent
10033-9,R' wave duration.lead V6
10034-7,S wave amplitude.lead AVF
10035-4,S wave amplitude.lead AVL
10036-2,S wave amplitude.lead AVR
10037-0,S wave amplitude.lead I
10038-8,S wave amplitude.lead II
10039-6,S wave amplitude.lead III
10040-4,S wave amplitude.lead V1
1004-1,Direct antiglobulin test.complement specific reagent
10041-2,S wave amplitude.lead V2
10042-0,S wave amplitude.lead V3
10043-8,S wave amplitude.lead V4
10044-6,S wave amplitude.lead V5
10045-3,S wave amplitude.lead V6
10046-1,S wave duration.lead AVF
10047-9,S wave duration.lead AVL
10048-7,S wave duration.lead AVR
10049-5,S wave duration.lead I
10050-3,S wave duration.lead II
10051-1,S wave duration.lead III
10052-9,S wave duration.lead V1
10053-7,S wave duration.lead V2
10054-5,S wave duration.lead V3
10055-2,S wave duration.lead V4
10056-0,S wave duration.lead V5
10057-8,S wave duration.lead V6
1005-8,Indirect antiglobulin test.IgG specific reagent
10058-6,S' wave amplitude.lead AVF
10059-4,S' wave amplitude.lead AVL
10060-2,S' wave amplitude.lead AVR
10061-0,S' wave amplitude.lead I
10062-8,S' wave amplitude.lead II
10063-6,S' wave amplitude.lead III
10064-4,S' wave amplitude.lead V1
10065-1,S' wave amplitude.lead V2
1006-6,Direct antiglobulin test.IgG specific reagent
10066-9,S' wave amplitude.lead V3
10067-7,S' wave amplitude.lead V4
10068-5,S' wave amplitude.lead V5
10069-3,S' wave amplitude.lead V6
10070-1,S' wave duration.lead AVF
10071-9,S' wave duration.lead AVL
10072-7,S' wave duration.lead AVR
10073-5,S' wave duration.lead I
1007-4,Direct antiglobulin test.polyspecific reagent
10074-3,S' wave duration.lead II
10075-0,S' wave duration.lead III
10076-8,S' wave duration.lead V1
10077-6,S' wave duration.lead V2
10078-4,S' wave duration.lead V3
10079-2,S' wave duration.lead V4
100-8,Cefoperazone
10080-0,S' wave duration.lead V5
10081-8,S' wave duration.lead V6
1008-2,Indirect antiglobulin test.polyspecific reagent
10082-6,ST initial amplitude 6 ms.lead AVF
10083-4,ST initial amplitude 6 ms.lead AVL
10084-2,ST initial amplitude 6 ms.lead AVR
10085-9,ST initial amplitude 6 ms.lead I
10086-7,ST initial amplitude 6 ms.lead II
10087-5,ST initial amplitude 6 ms.lead III
10088-3,ST initial amplitude 6 ms.lead V1
10089-1,ST initial amplitude 6 ms.lead V2
1009-0,Direct antiglobulin test.poly specific reagent
10090-9,ST initial amplitude 6 ms.lead V3
10091-7,ST initial amplitude 6 ms.lead V4
10092-5,ST initial amplitude 6 ms.lead V5
10093-3,ST initial amplitude 6 ms.lead V6
10094-1,ST slope.lead AVF
10095-8,ST slope.lead AVL
10096-6,ST slope.lead AVR
10097-4,ST slope.lead I
10098-2,ST slope.lead II
10099-0,ST slope.lead III
10100-6,ST slope.lead V1
10101-4,ST slope.lead V2
10102-2,ST slope.lead V3
10103-0,ST slope.lead V4
10104-8,ST slope.lead V5
10105-5,ST slope.lead V6
10106-3,ST wave displacement.end.lead AVF
10107-1,ST wave displacement.end.lead AVL
1010-8,E super little w Ab
10108-9,ST wave displacement.end.lead AVR
10109-7,ST wave displacement.end.lead I
10110-5,ST wave displacement.end.lead II
10111-3,ST wave displacement.end.lead III
10112-1,ST wave displacement.end.lead V1
10113-9,ST wave displacement.end.lead V2
10114-7,ST wave displacement.end.lead V3
10115-4,ST wave displacement.end.lead V4
1011-6,E super little w Ab
10116-2,ST wave displacement.end.lead V5
10117-0,ST wave displacement.end.lead V6
10118-8,ST wave displacement.mid.lead AVF
10119-6,ST wave displacement.mid.lead AVL
10120-4,ST wave displacement.mid.lead AVR
10121-2,ST wave displacement.mid.lead I
10122-0,ST wave displacement.mid.lead II
10123-8,ST wave displacement.mid.lead III
1012-4,E super little w Ab
10124-6,ST wave displacement.mid.lead V1
10125-3,ST wave displacement.mid.lead V2
10126-1,ST wave displacement.mid.lead V3
10127-9,ST wave displacement.mid.lead V4
10128-7,ST wave displacement.mid.lead V5
10129-5,ST wave displacement.mid.lead V6
10130-3,T' wave amplitude.lead AVF
10131-1,T' wave amplitude.lead AVL
1013-2,E super little w Ag
10132-9,T' wave amplitude.lead AVR
10133-7,T' wave amplitude.lead I
10134-5,T' wave amplitude.lead II
10135-2,T' wave amplitude.lead III
10136-0,T' wave amplitude.lead V1
10137-8,T' wave amplitude.lead V2
10138-6,T' wave amplitude.lead V3
10139-4,T' wave amplitude.lead V4
1014-0,E super little w Ag
10140-2,T' wave amplitude.lead V5
10141-0,T' wave amplitude.lead V6
10142-8,T wave amplitude.lead AVF
10143-6,T wave amplitude.lead AVL
10144-4,T wave amplitude.lead AVR
10145-1,T wave amplitude.lead I
10146-9,T wave amplitude.lead II
10147-7,T wave amplitude.lead III
10148-5,T wave amplitude.lead V1
10149-3,T wave amplitude.lead V2
10150-1,T wave amplitude.lead V3
10151-9,T wave amplitude.lead V4
10152-7,T wave amplitude.lead V5
10153-5,T wave amplitude.lead V6
10154-3,Chief complaint
10155-0,Allergies
10156-8,Childhood diseases
1015-7,E super little w Ag
10157-6,History of family member diseases
10158-4,Functional status
10159-2,Industrial exposure
101-6,Cefoperazone
10160-0,Medication use
10161-8,Occupational exposure
10162-6,History of pregnancies
10163-4,History of pregnancies
10164-2,Present illness
1016-5,E Ab
10165-9,History of psychiatric symptoms & diseases
10166-7,Social function
10167-5,Surgical procedures
10168-3,Symptoms & diseases
10169-1,Symptoms & diseases
10170-9,Symptoms & diseases
10171-7,Symptoms & diseases
10172-5,Symptoms & diseases
1017-3,E Ab
10173-3,Symptoms & diseases
10174-1,Symptoms & diseases
10175-8,Symptoms & diseases
10176-6,Symptoms & diseases
10177-4,Symptoms & diseases
10178-2,Symptoms & diseases
10179-0,Symptoms & diseases
10180-8,Symptoms & diseases
1018-1,E Ab
10181-6,Symptoms & diseases
10182-4,Travel
10183-2,Hospital discharge medications
10184-0,Hospital discharge physical findings
10185-7,Hospital discharge procedures
10186-5,Identifying information
10187-3,Review of systems
10188-1,Review of systems overview
10189-9,Review of systems overview
10190-7,Mental status
10191-5,Physical findings
10192-3,Physical findings
10193-1,Physical findings
10194-9,Physical findings
10195-6,Physical findings
10196-4,Physical findings
10197-2,Physical findings
10198-0,Physical findings
1019-9,E Ag
10199-8,Physical findings
10200-4,Physical findings
10201-2,Physical findings
10202-0,Physical findings
10203-8,Physical findings
10204-6,Physical findings
10205-3,Physical findings
10206-1,Physical findings
1020-7,E Ag
10207-9,Physical findings
10208-7,Physical findings
10209-5,Physical findings
10210-3,Physical findings
10211-1,Physical findings
10212-9,Physical findings
10213-7,Surgical operation note anesthesia
10214-5,Surgical operation note anesthesia duration
1021-5,E Ag
10215-2,Surgical operation note findings
10216-0,Surgical operation note fluids
10217-8,Surgical operation note indications
10218-6,Surgical operation note postoperative Dx
10219-4,Surgical operation note preoperative Dx
10220-2,Surgical operation note prep time duration
10221-0,Surgical operation note specimens taken
10222-8,Surgical operation note surgical complications
1022-3,F little y super little a Ab
10223-6,Surgical operation note surgical procedure
10224-4,Hemodynamic method special circumstances
10225-1,Institution inventory number
10226-9,Oxygen content
10227-7,Vendor model number
10228-5,Vendor serial number
10229-3,Class
10230-1,Ejection fraction
1023-1,F little y super little a Ab
10231-9,Ejection fraction
10232-7,Oxygen content
10233-5,Oxygen content
10234-3,Oxygen content
10235-0,Oxygen content
10236-8,Oxygen content
10237-6,Oxygen content
10238-4,Oxygen content
10239-2,Oxygen content
102-4,Cefoperazone
10240-0,Oxygen content
10241-8,Oxygen content
10242-6,Oxygen content
10243-4,Oxygen content
10244-2,Oxygen content
10245-9,Oxygen content
10246-7,Oxygen content
10247-5,Oxygen content
10248-3,Oxygen content
1024-9,F little y super little a Ab
10249-1,Institution inventory number
10250-9,Vendor model number
10251-7,Vendor serial number
10252-5,Biliary drain site
10253-3,Class
10254-1,Class
10255-8,Class
1025-6,F little y super little a Ag
10256-6,Institution inventory number
10257-4,Institution inventory number
10258-2,Institution inventory number
10259-0,Institution inventory number
10260-8,Institution inventory number
10261-6,Institution inventory number
10262-4,Institution inventory number
10263-2,Institution inventory number
1026-4,F little y super little a Ag
10264-0,Institution inventory number
10265-7,Institution inventory number
10266-5,Institution inventory number
10267-3,Institution inventory number
10268-1,Institution inventory number
10269-9,Institution inventory number
10270-7,Institution inventory number
10271-5,Institution inventory number
1027-2,F little y super little a Ag
10272-3,Institution inventory number
10273-1,Institution inventory number
10274-9,Institution inventory number
10275-6,Institution inventory number
10276-4,Peritoneal drain site
10277-2,Stool collection site
10278-0,Subarachnoid drain site
10279-8,Vendor model number
1028-0,F little y super little b Ab
10280-6,Vendor model number
10281-4,Vendor model number
10282-2,Vendor model number
10283-0,Vendor model number
10284-8,Vendor model number
10285-5,Vendor model number
10286-3,Vendor model number
10287-1,Vendor model number
10288-9,Vendor model number
10289-7,Vendor model number
10290-5,Vendor model number
10291-3,Vendor model number
10292-1,Vendor model number
10293-9,Vendor model number
10294-7,Vendor model number
10295-4,Vendor model number
10296-2,Vendor model number
10297-0,Vendor model number
1029-8,F little y super little b Ab
10298-8,Vendor model number
10299-6,Vendor serial number
10300-2,Vendor serial number
10301-0,Vendor serial number
10302-8,Vendor serial number
10303-6,Vendor serial number
10304-4,Vendor serial number
10305-1,Vendor serial number
1030-6,F little y super little b Ab
10306-9,Vendor serial number
10307-7,Vendor serial number
10308-5,Vendor serial number
10309-3,Vendor serial number
10310-1,Vendor serial number
10311-9,Vendor serial number
10312-7,Vendor serial number
10313-5,Vendor serial number
1031-4,F little y super little b Ag
10314-3,Vendor serial number
10315-0,Vendor serial number
10316-8,Vendor serial number
10317-6,Vendor serial number
10318-4,Vendor serial number
10319-2,Institution inventory number
103-2,Ceforanide
10320-0,Vendor model number
10321-8,Vendor serial number
1032-2,F little y super little b Ag
10322-6,Potassium intake
10323-4,Wound drain fluid
10324-2,Institution inventory number
10325-9,Vendor model number
10326-7,Vendor serial number
10327-5,Eosinophils/100 leukocytes
10328-3,Lymphocytes/100 leukocytes
10329-1,Monocytes/100 leukocytes
1033-0,F little y super little b Ag
10330-9,Monocytes/100 leukocytes
10331-7,Rh
10332-5,Cortisol^pre 250 ug corticotropin IM
10333-3,Appearance
10334-1,Cancer Ag 125
10335-8,Color
10336-6,Gonadotropin peptide
10337-4,Procollagen type I
10338-2,Barbiturates
10339-0,Fluoxetine+Norfluoxetine
10340-8,Molindone
10341-6,Norpropoxyphene
10342-4,Sulfamethoxazole
10343-2,Temazepam
10344-0,Tranylcypromine
10345-7,Trihexyphenidyl
10346-5,Hemoglobin A
10347-3,Babesia microti identified
1034-8,Fetal cell screen
10348-1,Bordetella parapertussis Ab
10349-9,Brucella sp Ab
10350-7,Herpes simplex virus Ab.IgM
10351-5,HIV 1 RNA
10352-3,Bacteria identified
10353-1,Bacteria identified
10354-9,Bacteria identified
1035-5,Fresh frozen plasma given
10355-6,Microscopic observation
10356-4,Microscopic observation
10357-2,Microscopic observation
10358-0,Teichoate Ab
10359-8,Asialoganglioside GM1 Ab.IgM
10360-6,DNA single strand Ab.IgG
10361-4,DNA single strand Ab.IgM
10362-2,Endomysium Ab.IgA
1036-3,G Ab
10363-0,Barbiturates
10364-8,Cotinine
10365-5,Cotinine
10366-3,Cotinine
10367-1,Ethanol
10368-9,Lead
10369-7,Opiates
10370-5,Phencyclidine
1037-1,G Ab
10371-3,Bite cells
10372-1,Blister cells
10373-9,Fragments
10374-7,Helmet cells
10375-4,Irregularly contracted cells
10376-2,Macrocytes.oval
10377-0,Pencil cells
10378-8,Polychromasia
10379-6,Erythrocytes.dual population
10380-4,Stomatocytes
10381-2,Target cells
10382-0,"A,B variant NOS Ag"
10383-8,"A,B variant NOS Ag"
10384-6,"A,B variant NOS Ag"
10385-3,Albumin concentration given
10386-1,Albumin given
10387-9,Autologous erythrocytes given
10388-7,Autologous whole blood given
1038-9,G Ab
10389-5,Blood product.other
10390-3,Blood product special preparation
10391-1,Cytomegalovirus immune globulin given
10392-9,Cryoprecipitate given
10393-7,Factor IX given
10394-5,Factor IX given
10395-2,Factor VIII given
10396-0,Factor VIII given
1039-7,G Ag
10397-8,Hepatitis B virus immune globulin given
10398-6,I Ag
10399-4,I Ag
104-0,Ceforanide
10400-0,I Ag
10401-8,Immune serum globulin given
10402-6,Immune serum globulin given
10403-4,Inject immune serum globulin
10404-2,Inject Rh immune globulin
1040-5,G Ag
10405-9,Inject varicella zoster virus immune globulin
10406-7,little i Ag
10407-5,little i Ag
10408-3,little i Ag
10409-1,Pentaspan given
10410-9,Plasma given
10411-7,Plasma given
10412-5,Platelets given
1041-3,G Ag
10413-3,Rh immune globulin given
10414-1,Transfuse albumin
10415-8,Transfuse blood exchange transfusion
10416-6,Transfuse blood product.other
10417-4,Transfuse cryoprecipitate
10418-2,Transfuse factor IX
10419-0,Transfuse factor VIII
10420-8,Transfuse immune serum globulin
1042-1,H Ab
10421-6,Transfuse Pentaspan
10422-4,Transfuse plasma
10423-2,Transfuse platelets
10424-0,Transfuse erythrocytes
10425-7,Transfuse Rh immune globulin
10426-5,Transfuse whole blood
10427-3,Transfuse whole blood autologous
10428-1,Varicella zoster virus immune globulin given
10429-9,AE 1 Ag
10430-7,AE 3 Ag
10431-5,B-cell Ag
10432-3,CD30 Ag
10433-1,BR-2 Ag
10434-9,Complement C3 Ag
10435-6,C5B-9 Ag
10436-4,CD15 Ag
10437-2,CD16 Ag
10438-0,CD20 Ag
1043-9,H Ab
10439-8,CD3 Ag
10440-6,CD30 Ag
10441-4,CD34 Ag
10442-2,CD56 Ag
10443-0,CD43.T-Cell monocyte+Myeloid cell Ag
10444-8,CD57 Ag
10445-5,CD11c Ag
10446-3,Leukocyte common Ag
1044-7,H Ab
10447-1,M-5 Ag
10448-9,T-cell Ag
10449-7,Glucose^1H post meal
10450-5,Glucose^post 10H CFst
10451-3,Proinsulin^post 12H CFst
10452-1,Xylose^1H post 25 g xylose PO
10453-9,Xylose^1H post dose xylose PO
1045-4,H NOS Ab
10454-7,Xylose^2H post 25 g xylose PO
10455-4,Xylose^30M post 25 g xylose PO
10456-2,Xylose^post 6H CFst
10457-0,Actin Ag
10458-8,Alkaline phosphatase.placental Ag
10459-6,Alpha-1-Fetoprotein Ag
10460-4,Lactalbumin alpha Ag
10461-2,Alpha-1-Antichymotrypsin Ag
1046-2,H NOS Ab
10462-0,Alpha 1 antitrypsin Ag
10463-8,Amyloid A component Ag
10464-6,Amyloid P component Ag
10465-3,Amyloid.prealbumin Ag
10466-1,Anion gap 3
10467-9,Beta-2-Microglobulin amyloid Ag
10468-7,Calcitonin Ag
10469-5,Carcinoembryonic Ag
1047-0,H NOS Ab
10470-3,Choriogonadotropin Ag
10471-1,Chromogranin A Ag
10472-9,Chromogranin Ag
10473-7,Chymotrypsin Ag
10474-5,Collagen type 4 Ag
10475-2,Corticotropin Ag
10476-0,Desmin Ag
10477-8,Enolase.neuron specific Ag
10478-6,Eosinophil major basic protein Ag
10479-4,CD227 Ag
10480-2,Estrogen+Progesterone receptor Ag
10481-0,Follitropin.alpha subunit Ag
10482-8,Follitropin.beta subunit Ag
10483-6,Gastrin Ag
10484-4,Glial fibrillary acidic protein Ag
10485-1,Glucagon Ag
10486-9,Hemoglobin Ag
10487-7,HMB-45 Ag
1048-8,H NOS Ag
10488-5,IgA Ag
10489-3,IgA.heavy chain Ag
10490-1,IgE Ag
10491-9,IgG Ag
10492-7,IgG.heavy chain Ag
10493-5,IgM Ag
10494-3,IgM.heavy chain Ag
10495-0,Insulin Ag
1049-6,H NOS Ag
10496-8,Immunoglobulin light chains.kappa Ag
10497-6,Immunoglobulin light chains.kappa amyloid Ag
10498-4,Keratin Ag
10499-2,Immunoglobulin light chains.lambda Ag
10500-7,Immunoglobulin light chains.lambda amyloid Ag
10501-5,Lutropin
10502-3,Lutropin Ag
10503-1,Lysozyme Ag
1050-4,H NOS Ag
10504-9,Myelin basic protein Ag
10505-6,Myoglobin Ag
10506-4,Peanut agglutinin Ag
10507-2,Prolactin Ag
10508-0,Prostate specific Ag
10509-8,Acid phosphatase.prostatic Ag
10510-6,S-100 Ag
10511-4,Serotonin Ag
1051-2,Hemolytic disease of newborn screen
10512-2,Somatostatin Ag
10513-0,Somatotropin Ag
10514-8,Synaptophysin Ag
10515-5,Thyroglobulin Ag
10516-3,Thyrotropin Ag
10517-1,Trypsin Ag
10518-9,Ulex europaeus I lectin Ag
10519-7,Vimentin Ag
1052-0,I (int) subtype
10520-5,Coagulation factor VI Ag
10521-3,Coagulation factor VIII Ag
10522-1,Coagulation factor XIII Ag
10523-9,Fibrinogen Ag
10524-7,Microscopic observation
10525-4,Microscopic observation
10526-2,Microscopic observation
10527-0,Microscopic observation
10528-8,Acetophenazine
10529-6,Amoxapine metabolite
10530-4,Aprobarbital
10531-2,Bretylium
10532-0,Noramiodarone
10533-8,Propoxyphene+Acetaminophen
10534-6,Diazoxide
10535-3,Digoxin
10536-1,Dipyridamole
10537-9,Doxepin+Nordoxepin
1053-8,I (int) subtype
10538-7,Fluoxetine+Norfluoxetine
10539-5,glipiZIDE
10540-3,glyBURIDE
10541-1,Mepivacaine
10542-9,Metharbital
10543-7,Methsuximide+Normethsuximide
10544-5,Normeperidine
10545-2,Normephenytoin
1054-6,I (int) subtype
10546-0,Normethsuximide
10547-8,Primidone+PHENobarbital
10548-6,Phenytoin.free/Phenytoin.total
10549-4,Pirmenol
10550-2,Temazepam
10551-0,Triamterene
10552-8,Tricyclic antidepressants
1055-3,I (int) subtype
10553-6,Acid phosphatase.prostatic
10554-4,Acid phosphatase.prostatic
10555-1,Acrosin
10556-9,Adenosine triphosphatase
10557-7,Adenosine triphosphate
10558-5,Albumin
10559-3,Calcium
10560-1,Carcinoembryonic Ag
1056-1,I (int) subtype
10561-9,Carnitine
10562-7,Cells
10563-5,Cells other than spermatozoa
10564-3,Cervical mucus
10565-0,Choriogonadotropin
10566-8,Choriogonadotropin
10567-6,Citrate
10568-4,Clarity
10569-2,Color
105-7,Ceforanide
10570-0,Consistency
10571-8,Consistency
10572-6,Duration^post ejaculation
10573-4,Ferning
10574-2,Fructose
10575-9,Gamma glutamyl transferase
10576-7,Germ cells.immature
10577-5,Glucosidase
10578-3,Glycerophosphocholine
1057-9,I (int) subtype
10579-1,Leukocytes
10580-9,Liquefaction
10581-7,Number of entities
10582-5,pH
10583-3,Prostaglandin F1 alpha
10584-1,Protein
10585-8,Round cells
10586-6,Semen
1058-7,I Ab
10587-4,Sexual abstinence duration
10588-2,Spermatogonia
10589-0,Spermatids
10590-8,Spermatids
10591-6,Spermatocytes.primary
10592-4,Spermatocytes.secondary
10593-2,Spermatozoa.pyriform head/100 spermatozoa
10594-0,Spermatozoa.tapering head/100 spermatozoa
1059-5,I Ab
10595-7,Spermatozoa
10596-5,Spermatozoa Ab
10597-3,Spermatozoa Ab
10598-1,Spermatozoa Ab
10599-9,Spermatozoa penetration
10600-5,Spermatozoa penetration
10601-3,Spermatozoa penetration^post coitus
10602-1,Spermatozoa.abnormal head/100 spermatozoa
1060-3,I Ab
10603-9,Spermatozoa.abnormal midpiece/100 spermatozoa
10604-7,Spermatozoa.abnormal tail/100 spermatozoa
10605-4,Spermatozoa.agglutinated/100 spermatozoa
10606-2,Spermatozoa.amorphous head/100 spermatozoa
10607-0,Spermatozoa.coiled tail/100 spermatozoa
10608-8,Spermatozoa.cytoplasmic droplet/100 spermatozoa
10609-6,Spermatozoa.duplicate head/100 spermatozoa
10610-4,Spermatozoa.duplicate tail/100 spermatozoa
1061-1,I NOS Ab
10611-2,Spermatozoa.immotile/100 spermatozoa
10612-0,Spermatozoa.large oval head/100 spermatozoa
10613-8,Spermatozoa.viable/100 spermatozoa
10614-6,Spermatozoa.motile with IgA/100 spermatozoa
10615-3,Spermatozoa.motile with IgA/100 spermatozoa
10616-1,Spermatozoa.motile with IgG/100 spermatozoa
10617-9,Spermatozoa.motile with IgG/100 spermatozoa
10618-7,Spermatozoa.motile with IgM/100 spermatozoa
10619-5,Spermatozoa.motile with IgM/100 spermatozoa
10620-3,Spermatozoa.nonprogressive/100 spermatozoa
10621-1,Spermatozoa.normal head/100 spermatozoa
10622-9,Spermatozoa.normal/100 spermatozoa
10623-7,Spermatozoa.pin head/100 spermatozoa
10624-5,Spermatozoa.rapid/100 spermatozoa
10625-2,Spermatozoa.round head/100 spermatozoa
