id,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,label,SHORTNAME
10012-3,R' wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead AVR,R' wave Amp L-AVR
10013-1,R' wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead I,R' wave Amp L-I
10014-9,R' wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead II,R' wave Amp L-II
10015-6,R' wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead III,R' wave Amp L-III
10016-4,R' wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead V1,R' wave Amp L-V1
10017-2,R' wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead V2,R' wave Amp L-V2
10018-0,R' wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead V3,R' wave Amp L-V3
10019-8,R' wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead V4,R' wave Amp L-V4
10020-6,R' wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead V5,R' wave Amp L-V5
10021-4,R' wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead V6,R' wave Amp L-V6
10022-2,R' wave duration.lead AVF,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead AVF,R' wave dur L-AVF
10023-0,R' wave duration.lead AVL,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead AVL,R' wave dur L-AVL
10024-8,R' wave duration.lead AVR,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead AVR,R' wave dur L-AVR
10025-5,R' wave duration.lead I,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead I,R' wave dur L-I
10026-3,R' wave duration.lead II,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead II,R' wave dur L-II
10027-1,R' wave duration.lead III,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead III,R' wave dur L-III
10028-9,R' wave duration.lead V1,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead V1,R' wave dur L-V1
10029-7,R' wave duration.lead V2,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead V2,R' wave dur L-V2
10030-5,R' wave duration.lead V3,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead V3,R' wave dur L-V3
10031-3,R' wave duration.lead V4,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead V4,R' wave dur L-V4
10032-1,R' wave duration.lead V5,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead V5,R' wave dur L-V5
10033-9,R' wave duration.lead V6,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave duration in lead V6,R' wave dur L-V6
10034-7,S wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead AVF,S wave Amp L-AVF
10035-4,S wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead AVL,S wave Amp L-AVL
10036-2,S wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead AVR,S wave Amp L-AVR
10037-0,S wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead I,S wave Amp L-I
10038-8,S wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead II,S wave Amp L-II
10039-6,S wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead III,S wave Amp L-III
10040-4,S wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead V1,S wave Amp L-V1
10041-2,S wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead V2,S wave Amp L-V2
10042-0,S wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead V3,S wave Amp L-V3
10043-8,S wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead V4,S wave Amp L-V4
10044-6,S wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead V5,S wave Amp L-V5
10045-3,S wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S wave amplitude in lead V6,S wave Amp L-V6
10046-1,S wave duration.lead AVF,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead AVF,S wave dur L-AVF
10047-9,S wave duration.lead AVL,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead AVL,S wave dur L-AVL
10048-7,S wave duration.lead AVR,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead AVR,S wave dur L-AVR
10049-5,S wave duration.lead I,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead I,S wave dur L-I
10050-3,S wave duration.lead II,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead II,S wave dur L-II
10051-1,S wave duration.lead III,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead III,S wave dur L-III
10052-9,S wave duration.lead V1,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead V1,S wave dur L-V1
10053-7,S wave duration.lead V2,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead V2,S wave dur L-V2
10054-5,S wave duration.lead V3,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead V3,S wave dur L-V3
10055-2,S wave duration.lead V4,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead V4,S wave dur L-V4
10056-0,S wave duration.lead V5,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead V5,S wave dur L-V5
10057-8,S wave duration.lead V6,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S wave duration in lead V6,S wave dur L-V6
10058-6,S' wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead AVF,S' wave Amp L-AVF
10059-4,S' wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead AVL,S' wave Amp L-AVL
10060-2,S' wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead AVR,S' wave Amp L-AVR
10061-0,S' wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead I,S' wave Amp L-I
10062-8,S' wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead II,S' wave Amp L-II
10063-6,S' wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead III,S' wave Amp L-III
10064-4,S' wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead V1,S' wave Amp L-V1
10065-1,S' wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead V2,S' wave Amp L-V2
10066-9,S' wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead V3,S' wave Amp L-V3
10067-7,S' wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead V4,S' wave Amp L-V4
10068-5,S' wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead V5,S' wave Amp L-V5
10069-3,S' wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave amplitude in lead V6,S' wave Amp L-V6
10070-1,S' wave duration.lead AVF,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead AVF,S' wave dur L-AVF
10071-9,S' wave duration.lead AVL,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead AVL,S' wave dur L-AVL
10072-7,S' wave duration.lead AVR,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead AVR,S' wave dur L-AVR
10073-5,S' wave duration.lead I,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead I,S' wave dur L-I
10074-3,S' wave duration.lead II,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead II,S' wave dur L-II
10075-0,S' wave duration.lead III,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead III,S' wave dur L-III
10076-8,S' wave duration.lead V1,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead V1,S' wave dur L-V1
10077-6,S' wave duration.lead V2,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead V2,S' wave dur L-V2
10078-4,S' wave duration.lead V3,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead V3,S' wave dur L-V3
10079-2,S' wave duration.lead V4,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead V4,S' wave dur L-V4
10080-0,S' wave duration.lead V5,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead V5,S' wave dur L-V5
10081-8,S' wave duration.lead V6,Time,Pt,Heart,Qn,EKG,EKG.MEAS,S' wave duration in lead V6,S' wave dur L-V6
10082-6,ST initial amplitude 6 ms.lead AVF,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead AVF,ST I-Amp 6ms L-AVF
10083-4,ST initial amplitude 6 ms.lead AVL,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead AVL,ST I-Amp 6ms L-AVL
10084-2,ST initial amplitude 6 ms.lead AVR,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead AVR,ST I-Amp 6ms L-AVR
10085-9,ST initial amplitude 6 ms.lead I,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead I,ST I-Amp 6ms L-I
10086-7,ST initial amplitude 6 ms.lead II,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead II,ST I-Amp 6ms L-II
10087-5,ST initial amplitude 6 ms.lead III,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead III,ST I-Amp 6ms L-III
10088-3,ST initial amplitude 6 ms.lead V1,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead V1,ST I-Amp 6ms L-V1
10089-1,ST initial amplitude 6 ms.lead V2,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead V2,ST I-Amp 6ms L-V2
10090-9,ST initial amplitude 6 ms.lead V3,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead V3,ST I-Amp 6ms L-V3
10091-7,ST initial amplitude 6 ms.lead V4,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead V4,ST I-Amp 6ms L-V4
10092-5,ST initial amplitude 6 ms.lead V5,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead V5,ST I-Amp 6ms L-V5
10093-3,ST initial amplitude 6 ms.lead V6,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST initial amplitude 6 ms in lead V6,ST I-Amp 6ms L-V6
10094-1,ST slope.lead AVF,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead AVF,ST Slope L-AVF
10095-8,ST slope.lead AVL,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead AVL,ST Slope L-AVL
10096-6,ST slope.lead AVR,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead AVR,ST Slope L-AVR
10097-4,ST slope.lead I,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead I,ST Slope L-I
10098-2,ST slope.lead II,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead II,ST Slope L-II
10099-0,ST slope.lead III,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead III,ST Slope L-III
10100-6,ST slope.lead V1,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead V1,ST Slope L-V1
10101-4,ST slope.lead V2,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead V2,ST Slope L-V2
10102-2,ST slope.lead V3,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead V3,ST Slope L-V3
10103-0,ST slope.lead V4,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead V4,ST Slope L-V4
10104-8,ST slope.lead V5,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead V5,ST Slope L-V5
10105-5,ST slope.lead V6,ElpotRat,Pt,Heart,Qn,EKG,EKG.MEAS,ST slope in lead V6,ST Slope L-V6
10106-3,ST wave displacement.end.lead AVF,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead AVF,ST wave ED L-AVF
10107-1,ST wave displacement.end.lead AVL,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead AVL,ST wave ED L-AVL
10108-9,ST wave displacement.end.lead AVR,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead AVR,ST wave ED L-AVR
10109-7,ST wave displacement.end.lead I,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead I,ST wave ED L-I
10110-5,ST wave displacement.end.lead II,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead II,ST wave ED L-II
10111-3,ST wave displacement.end.lead III,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead III,ST wave ED L-III
10112-1,ST wave displacement.end.lead V1,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead V1,ST wave ED L-V1
10113-9,ST wave displacement.end.lead V2,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead V2,ST wave ED L-V2
10114-7,ST wave displacement.end.lead V3,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead V3,ST wave ED L-V3
10115-4,ST wave displacement.end.lead V4,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead V4,ST wave ED L-V4
10116-2,ST wave displacement.end.lead V5,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead V5,ST wave ED L-V5
10117-0,ST wave displacement.end.lead V6,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave end displacement in lead V6,ST wave ED L-V6
10118-8,ST wave displacement.mid.lead AVF,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead AVF,ST wave MD L-AVF
10119-6,ST wave displacement.mid.lead AVL,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead AVL,ST wave MD L-AVL
10120-4,ST wave displacement.mid.lead AVR,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead AVR,ST wave MD L-AVR
10121-2,ST wave displacement.mid.lead I,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead I,ST wave MD L-I
10122-0,ST wave displacement.mid.lead II,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead II,ST wave MD L-II
10123-8,ST wave displacement.mid.lead III,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead III,ST wave MD L-III
10124-6,ST wave displacement.mid.lead V1,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead V1,ST wave MD L-V1
10125-3,ST wave displacement.mid.lead V2,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead V2,ST wave MD L-V2
10126-1,ST wave displacement.mid.lead V3,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead V3,ST wave MD L-V3
10127-9,ST wave displacement.mid.lead V4,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead V4,ST wave MD L-V4
10128-7,ST wave displacement.mid.lead V5,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead V5,ST wave MD L-V5
10129-5,ST wave displacement.mid.lead V6,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,ST wave mid displacement in lead V6,ST wave MD L-V6
10130-3,T' wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead AVF,T' wave Amp L-AVF
10131-1,T' wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead AVL,T' wave Amp L-AVL
10132-9,T' wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead AVR,T' wave Amp L-AVR
10133-7,T' wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead I,T' wave Amp L-I
10134-5,T' wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead II,T' wave Amp L-II
10135-2,T' wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead III,T' wave Amp L-III
10136-0,T' wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead V1,T' wave Amp L-V1
10137-8,T' wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead V2,T' wave Amp L-V2
10138-6,T' wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead V3,T' wave Amp L-V3
10139-4,T' wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead V4,T' wave Amp L-V4
10140-2,T' wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead V5,T' wave Amp L-V5
10141-0,T' wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T' wave amplitude in lead V6,T' wave Amp L-V6
10142-8,T wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead AVF,T wave Amp L-AVF
10143-6,T wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead AVL,T wave Amp L-AVL
10144-4,T wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead AVR,T wave Amp L-AVR
10145-1,T wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead I,T wave Amp L-I
10146-9,T wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead II,T wave Amp L-II
10147-7,T wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead III,T wave Amp L-III
10148-5,T wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead V1,T wave Amp L-V1
10149-3,T wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead V2,T wave Amp L-V2
10150-1,T wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead V3,T wave Amp L-V3
10151-9,T wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead V4,T wave Amp L-V4
10152-7,T wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead V5,T wave Amp L-V5
10153-5,T wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,T wave amplitude in lead V6,T wave Amp L-V6
10154-3,Chief complaint,Find,Pt,^Patient,Nar,Reported,H&P.HX,Chief complaint Narrative - Reported,Chief complaint Reported
10155-0,Allergies,Hx,Pt,^Patient,Nar,,H&P.HX,"History of allergies, reported",Hx of Allergies
10156-8,Childhood diseases,Hx,Pt,^Patient,Nar,,H&P.HX,History of Childhood diseases Narrative,Hx of Childhood diseases
10157-6,History of family member diseases,Hx,Pt,^Family member,Nar,,H&P.HX,History of family member diseases Narrative,Family member diseases Hx
10158-4,Functional status,Hx,Pt,^Patient,Nar,,H&P.HX,History of Functional status Narrative,Hx of Functional status
10159-2,Industrial exposure,Hx,Pt,^Patient,Nar,,H&P.HX,History of Industrial exposure Narrative,Hx of Industrial exposure
10160-0,Medication use,Hx,Pt,^Patient,Nar,,H&P.HX,History of Medication use Narrative,Hx of Medication use
10161-8,Occupational exposure,Hx,Pt,^Patient,Nar,,H&P.HX,History of Occupational exposure Narrative,Hx of Occupational exposure
10162-6,History of pregnancies,Hx,Pt,Reproductive system,Nar,,H&P.HX,History of pregnancies Narrative,Pregnancies Hx
10163-4,History of pregnancies,Hx,Pt,Reproductive system,Nom,,H&P.HX,History of pregnancies,Pregnancies Hx
10164-2,Present illness,Hx,Pt,^Patient,Nar,,H&P.HX,History of Present illness Narrative,Hx of Pres illness
10166-7,Social function,Hx,Pt,^Patient,Nar,,H&P.HX,History of Social function Narrative,Hx of Social function
10167-5,Surgical procedures,Hx,Pt,^Patient,Nar,,H&P.HX,History of Surgical procedures Narrative,Hx of Surg proc
10168-3,Symptoms & diseases,Hx,Pt,Cardiovascular system,Nar,,H&P.HX,History of Cardiovascular system disorders Narrative,Hx of CVS disorders
10169-1,Symptoms & diseases,Hx,Pt,Ear,Nar,,H&P.HX,History of Ear disorders Narrative,Hx of Ear disorders
10170-9,Symptoms & diseases,Hx,Pt,Endocrine system,Nar,,H&P.HX,History of Endocrine system disorders Narrative,Hx of Endocrine disorders
10171-7,Symptoms & diseases,Hx,Pt,Eyes,Nar,,H&P.HX,History of Eyes disorders Narrative,Hx of Eyes disorders
10172-5,Symptoms & diseases,Hx,Pt,Hematologic system,Nar,,H&P.HX,History of Hematologic system disorders Narrative,Hx of Hematologic disorders
10173-3,Symptoms & diseases,Hx,Pt,Musculoskeletal system,Nar,,H&P.HX,History of Musculoskeletal system disorders Narrative,Hx of Musculoskeletal disorders
10174-1,Symptoms & diseases,Hx,Pt,Nose,Nar,,H&P.HX,History of Nose disorders Narrative,Hx of Nose disorders
10175-8,Symptoms & diseases,Hx,Pt,Oral cavity,Nar,,H&P.HX,History of Oral cavity disorders Narrative,Hx of Oral cavity disorders
10176-6,Symptoms & diseases,Hx,Pt,Reproductive system,Nar,,H&P.HX,History of Reproductive system disorders Narrative,Hx of Reproductive disorders
10177-4,Symptoms & diseases,Hx,Pt,Respiratory system,Nar,,H&P.HX,History of Respiratory system disorders Narrative,Hx of Respiratory disorders
10178-2,Symptoms & diseases,Hx,Pt,Skin,Nar,,H&P.HX,History of Skin disorders Narrative,Hx of Skin disorders
10179-0,Symptoms & diseases,Hx,Pt,Throat+Neck,Nar,,H&P.HX,History of Throat and Neck disorders Narrative,Hx of Throat+Neck disorders
10180-8,Symptoms & diseases,Hx,Pt,Throat+Neck,Nom,,H&P.HX,History of Throat and Neck disorders,Hx of Throat+Neck disorders
10181-6,Symptoms & diseases,Hx,Pt,Urinary tract,Nar,,H&P.HX,History of Urinary tract disorders Narrative,Hx of Urinary disorders
10182-4,Travel,Hx,Pt,^Patient,Nar,,H&P.HX,History of Travel Narrative,Hx of Travel
10183-2,Hospital discharge medications,Find,Pt,^Patient,Nar,,H&P.HX,Hospital discharge medications Narrative,Hospital discharge medications
